clientID partySize elevatorID arrivalFloor dropoffFloor createTime pickupTime dropoffTime
1 1 3 0 5 64 65 70
9 1 0 0 2 117 118 120
10 1 3 0 6 168 173 179
8 1 1 7 3 224 231 235
7 1 2 6 2 226 232 236
11 1 2 0 1 226 238 239
6 1 1 5 0 257 259 264
13 1 0 0 7 291 293 300
4 1 1 3 5 347 350 352
3 1 1 2 5 353 356 359
16 1 1 0 4 354 364 368
5 1 0 4 0 376 379 383
19 1 3 0 1 415 421 422
21 1 3 0 1 465 466 467
12 1 2 7 5 488 494 496
14 1 0 6 1 494 500 505
15 1 0 5 3 506 510 512
22 1 1 0 1 526 530 531
2 1 2 1 2 531 535 536
26 1 1 0 1 592 593 594
28 1 0 0 1 662 665 666
17 1 2 3 1 673 674 676
18 1 3 2 5 714 715 718
29 1 1 0 1 724 725 726
24 1 0 6 3 727 732 735
23 1 3 7 1 731 733 739
20 1 1 4 2 741 744 746
25 1 0 5 6 756 758 759
32 1 0 0 6 780 786 792
37 1 2 0 5 844 845 850
33 1 1 6 0 917 921 927
38 1 0 0 4 920 926 930
40 1 3 0 3 977 978 981
34 1 2 7 5 989 991 993
36 1 2 5 3 1002 1003 1005
41 1 0 0 1 1040 1044 1045
30 1 0 3 4 1043 1047 1048
27 1 0 1 5 1044 1045 1049
35 1 1 4 7 1062 1066 1069
31 1 2 2 7 1084 1085 1090
44 1 3 0 2 1100 1103 1105
39 1 2 6 5 1167 1168 1169
49 1 3 0 5 1165 1167 1172
43 1 3 5 6 1228 1229 1230
50 1 0 0 2 1227 1232 1234
42 1 2 7 4 1257 1259 1262
52 1 1 0 2 1285 1292 1294
55 1 2 0 5 1339 1343 1348
51 1 1 6 1 1400 1404 1409
48 1 2 2 5 1404 1407 1410
56 1 2 0 6 1405 1415 1421
45 1 3 3 4 1434 1437 1438
47 1 0 4 0 1434 1436 1440
53 1 1 5 3 1451 1455 1457
59 1 1 0 2 1465 1468 1470
54 1 1 7 5 1493 1498 1500
46 1 3 1 0 1512 1515 1516
63 1 2 0 7 1532 1538 1545
66 1 0 0 6 1577 1578 1584
67 1 1 0 5 1639 1644 1649
57 1 1 6 1 1658 1659 1664
62 1 0 5 0 1690 1691 1696
68 1 2 0 4 1692 1699 1703
64 1 2 7 2 1732 1735 1740
58 1 2 2 5 1761 1762 1765
71 1 1 0 6 1761 1762 1768
61 1 2 4 0 1764 1766 1770
60 1 0 3 2 1781 1784 1785
73 1 2 0 3 1814 1815 1818
77 1 0 0 3 1876 1878 1881
70 1 3 5 2 1918 1923 1926
78 1 0 0 1 1926 1929 1930
69 1 0 6 1 1931 1936 1941
72 1 1 7 2 1954 1955 1960
80 1 1 0 1 1994 1996 1997
65 1 2 1 2 2045 2047 2048
83 1 2 0 6 2057 2059 2065
76 1 1 3 1 2121 2123 2125
85 1 1 0 2 2122 2126 2128
74 1 3 2 4 2132 2133 2135
81 1 0 6 5 2141 2146 2147
75 1 0 4 0 2153 2154 2158
79 1 0 5 4 2164 2169 2170
82 1 0 7 1 2164 2173 2179
87 1 0 0 1 2189 2190 2191
93 1 2 0 7 2254 2260 2267
94 1 3 0 2 2304 2308 2310
95 1 2 0 5 2363 2370 2375
89 1 2 6 3 2383 2384 2387
92 1 1 5 6 2401 2404 2405
96 1 0 0 6 2415 2416 2422
91 1 0 7 3 2419 2423 2427
86 1 3 3 6 2472 2473 2476
99 1 1 0 3 2469 2475 2478
90 1 1 4 5 2522 2523 2524
88 1 3 2 6 2516 2520 2524
101 1 2 0 2 2521 2524 2526
84 1 3 1 0 2539 2544 2545
104 1 3 0 6 2571 2572 2578
107 1 2 0 6 2613 2615 2621
97 1 0 6 1 2628 2631 2636
98 1 3 5 0 2661 2662 2667
108 1 3 0 2 2669 2670 2672
100 1 1 7 2 2672 2674 2679
111 1 0 0 7 2719 2720 2727
113 1 1 0 7 2775 2777 2784
114 1 1 0 7 2835 2842 2849
102 1 2 3 6 2846 2849 2852
103 1 2 2 5 2881 2885 2888
109 1 2 6 3 2888 2889 2892
115 1 1 0 4 2889 2896 2900
105 1 3 4 0 2894 2896 2900
112 1 0 7 5 2905 2906 2908
110 1 2 5 6 2909 2911 2912
119 1 3 0 5 2955 2956 2961
123 1 1 0 3 3005 3009 3012
124 1 3 0 1 3060 3065 3066
106 1 3 1 2 3088 3089 3090
118 1 2 6 5 3113 3114 3115
125 1 1 0 4 3116 3119 3123
121 1 2 7 6 3132 3134 3135
122 1 0 5 4 3173 3174 3175
128 1 2 0 7 3178 3184 3191
116 1 0 3 1 3215 3216 3218
117 1 1 2 1 3237 3239 3240
131 1 1 0 4 3240 3241 3245
120 1 2 4 3 3252 3255 3256
134 1 0 0 2 3307 3308 3310
136 1 0 0 6 3355 3357 3363
129 1 0 7 5 3357 3364 3366
127 1 3 6 5 3368 3372 3373
130 1 2 5 3 3410 3412 3414
137 1 2 0 6 3415 3418 3424
141 1 2 0 4 3465 3471 3475
142 1 2 0 1 3532 3536 3537
132 1 0 3 6 3584 3586 3589
138 1 0 7 1 3592 3593 3599
143 1 0 0 2 3594 3600 3602
126 1 1 1 2 3604 3607 3608
133 1 1 2 1 3605 3609 3610
135 1 2 4 3 3611 3614 3615
139 1 1 6 0 3618 3623 3629
146 1 0 0 1 3643 3645 3646
140 1 2 5 6 3679 3681 3682
151 1 0 0 1 3703 3704 3705
153 1 3 0 3 3761 3766 3769
154 1 2 0 2 3811 3817 3819
145 1 0 7 4 3839 3845 3848
150 1 0 6 1 3857 3859 3864
155 1 1 0 5 3883 3884 3889
152 1 3 5 0 3931 3933 3938
158 1 0 0 7 3939 3940 3947
144 1 2 3 4 3961 3962 3963
149 1 1 4 7 3968 3969 3972
148 1 0 2 6 3967 3972 3976
160 1 2 0 3 3992 3996 3999
164 1 2 0 7 4067 4070 4077
156 1 3 7 4 4068 4075 4078
157 1 2 6 1 4111 4112 4117
159 1 0 5 3 4132 4133 4135
165 1 1 0 5 4130 4137 4142
147 1 2 1 0 4147 4148 4149
168 1 0 0 5 4176 4179 4184
171 1 2 0 5 4244 4245 4250
166 1 1 7 0 4301 4303 4310
172 1 3 0 6 4307 4311 4317
161 1 0 3 4 4318 4320 4321
163 1 2 4 7 4327 4328 4331
162 1 0 2 0 4344 4346 4348
174 1 0 0 6 4364 4365 4371
167 1 0 6 5 4381 4382 4383
169 1 3 5 1 4378 4379 4383
178 1 1 0 3 4424 4425 4428
181 1 2 0 4 4497 4504 4508
182 1 3 0 3 4548 4549 4552
173 1 0 7 0 4555 4557 4564
183 1 3 0 5 4617 4620 4625
179 1 0 5 0 4619 4624 4629
180 1 3 6 2 4624 4626 4630
185 1 1 0 6 4670 4673 4679
170 1 0 1 6 4680 4681 4686
175 1 1 3 5 4683 4686 4688
176 1 2 4 6 4696 4697 4699
177 1 1 2 1 4730 4733 4734
188 1 2 0 6 4722 4728 4734
192 1 1 0 3 4787 4788 4791
184 1 2 7 0 4830 4831 4838
194 1 0 0 4 4846 4852 4856
186 1 2 5 7 4850 4855 4857
187 1 2 6 2 4887 4888 4892
196 1 2 0 6 4922 4924 4930
199 1 1 0 7 4984 4987 4994
200 1 3 0 6 5044 5046 5052
190 1 2 3 0 5055 5058 5061
193 1 3 2 0 5066 5070 5072
191 1 1 4 7 5083 5086 5089
195 1 0 7 2 5089 5092 5097
197 1 1 5 6 5098 5100 5101
201 1 2 0 5 5101 5102 5107
198 1 2 6 4 5104 5108 5110
207 1 1 0 2 5154 5160 5162
189 1 2 1 6 5205 5208 5213
209 1 0 0 3 5218 5220 5223
211 1 1 0 7 5282 5284 5291
205 1 3 7 0 5331 5338 5345
212 1 0 0 6 5338 5341 5347
206 1 3 5 7 5345 5350 5352
208 1 1 6 1 5363 5364 5369
214 1 3 0 6 5395 5402 5408
202 1 0 3 2 5406 5409 5410
203 1 1 2 0 5408 5409 5411
217 1 3 0 5 5457 5463 5468
204 1 1 4 7 5468 5472 5475
220 1 1 0 7 5523 5530 5537
213 1 2 7 2 5577 5578 5583
215 1 2 5 1 5585 5588 5592
222 1 2 0 4 5599 5600 5604
216 1 1 6 7 5614 5615 5616
225 1 3 0 4 5653 5658 5662
227 1 3 0 1 5715 5719 5720
210 1 3 1 6 5724 5725 5730
219 1 3 2 3 5755 5759 5760
228 1 0 0 5 5786 5788 5793
218 1 0 3 2 5788 5795 5796
224 1 0 5 2 5825 5828 5831
223 1 2 7 3 5833 5836 5840
221 1 1 4 2 5838 5841 5843
231 1 3 0 7 5836 5839 5846
226 1 1 6 1 5842 5847 5852
235 1 2 0 5 5888 5891 5896
238 1 2 0 6 5951 5956 5962
239 1 0 0 4 6014 6016 6020
233 1 1 5 2 6053 6057 6060
234 1 3 7 2 6066 6067 6072
237 1 0 6 5 6080 6082 6083
240 1 3 0 7 6078 6080 6087
230 1 0 2 1 6090 6093 6094
243 1 0 0 6 6145 6146 6152
232 1 3 3 2 6157 6161 6162
236 1 1 4 0 6177 6179 6183
246 1 1 0 6 6203 6204 6210
249 1 0 0 5 6260 6266 6271
