arrivalFloor arrivalTime partySize destinationFloor clientID
0 64 1 5 1
0 117 1 2 9
0 168 1 6 10
7 224 1 3 8
0 226 1 1 11
6 226 1 2 7
5 257 1 0 6
0 291 1 7 13
3 347 1 5 4
2 353 1 5 3
0 354 1 4 16
4 376 1 0 5
0 415 1 1 19
0 465 1 1 21
7 488 1 5 12
6 494 1 1 14
5 506 1 3 15
0 526 1 1 22
1 531 1 2 2
0 592 1 1 26
0 662 1 1 28
3 673 1 1 17
2 714 1 5 18
0 724 1 1 29
6 727 1 3 24
7 731 1 1 23
4 741 1 2 20
5 756 1 6 25
0 780 1 6 32
0 844 1 5 37
6 917 1 0 33
0 920 1 4 38
0 977 1 3 40
7 989 1 5 34
5 1002 1 3 36
0 1040 1 1 41
3 1043 1 4 30
1 1044 1 5 27
4 1062 1 7 35
2 1084 1 7 31
0 1100 1 2 44
0 1165 1 5 49
6 1167 1 5 39
0 1227 1 2 50
5 1228 1 6 43
7 1257 1 4 42
0 1285 1 2 52
0 1339 1 5 55
6 1400 1 1 51
2 1404 1 5 48
0 1405 1 6 56
3 1434 1 4 45
4 1434 1 0 47
5 1451 1 3 53
0 1465 1 2 59
7 1493 1 5 54
1 1512 1 0 46
0 1532 1 7 63
0 1577 1 6 66
0 1639 1 5 67
6 1658 1 1 57
5 1690 1 0 62
0 1692 1 4 68
7 1732 1 2 64
0 1761 1 6 71
2 1761 1 5 58
4 1764 1 0 61
3 1781 1 2 60
0 1814 1 3 73
0 1876 1 3 77
5 1918 1 2 70
0 1926 1 1 78
6 1931 1 1 69
7 1954 1 2 72
0 1994 1 1 80
1 2045 1 2 65
0 2057 1 6 83
3 2121 1 1 76
0 2122 1 2 85
2 2132 1 4 74
6 2141 1 5 81
4 2153 1 0 75
7 2164 1 1 82
5 2164 1 4 79
0 2189 1 1 87
0 2254 1 7 93
0 2304 1 2 94
0 2363 1 5 95
6 2383 1 3 89
5 2401 1 6 92
0 2415 1 6 96
7 2419 1 3 91
0 2469 1 3 99
3 2472 1 6 86
2 2516 1 6 88
0 2521 1 2 101
4 2522 1 5 90
1 2539 1 0 84
0 2571 1 6 104
0 2613 1 6 107
6 2628 1 1 97
5 2661 1 0 98
0 2669 1 2 108
7 2672 1 2 100
0 2719 1 7 111
0 2775 1 7 113
0 2835 1 7 114
3 2846 1 6 102
2 2881 1 5 103
6 2888 1 3 109
0 2889 1 4 115
4 2894 1 0 105
7 2905 1 5 112
5 2909 1 6 110
0 2955 1 5 119
0 3005 1 3 123
0 3060 1 1 124
1 3088 1 2 106
6 3113 1 5 118
0 3116 1 4 125
7 3132 1 6 121
5 3173 1 4 122
0 3178 1 7 128
3 3215 1 1 116
2 3237 1 1 117
0 3240 1 4 131
4 3252 1 3 120
0 3307 1 2 134
0 3355 1 6 136
7 3357 1 5 129
6 3368 1 5 127
5 3410 1 3 130
0 3415 1 6 137
0 3465 1 4 141
0 3532 1 1 142
3 3584 1 6 132
7 3592 1 1 138
0 3594 1 2 143
1 3604 1 2 126
2 3605 1 1 133
4 3611 1 3 135
6 3618 1 0 139
0 3643 1 1 146
5 3679 1 6 140
0 3703 1 1 151
0 3761 1 3 153
0 3811 1 2 154
7 3839 1 4 145
6 3857 1 1 150
0 3883 1 5 155
5 3931 1 0 152
0 3939 1 7 158
3 3961 1 4 144
2 3967 1 6 148
4 3968 1 7 149
0 3992 1 3 160
0 4067 1 7 164
7 4068 1 4 156
6 4111 1 1 157
0 4130 1 5 165
5 4132 1 3 159
1 4147 1 0 147
0 4176 1 5 168
0 4244 1 5 171
7 4301 1 0 166
0 4307 1 6 172
3 4318 1 4 161
4 4327 1 7 163
2 4344 1 0 162
0 4364 1 6 174
5 4378 1 1 169
6 4381 1 5 167
0 4424 1 3 178
0 4497 1 4 181
0 4548 1 3 182
7 4555 1 0 173
0 4617 1 5 183
5 4619 1 0 179
