clientID partySize elevatorID arrivalFloor dropoffFloor createTime pickupTime dropoffTime
1 1 0 0 5 64 65 70
9 1 1 0 2 117 118 120
10 1 2 0 6 168 169 175
11 1 3 0 1 226 227 228
8 1 2 7 3 224 225 229
7 1 2 6 2 226 232 236
6 1 0 5 0 257 258 263
13 1 0 0 7 291 292 299
4 1 1 3 5 347 348 350
3 1 2 2 5 353 354 357
16 1 2 0 4 354 362 366
5 1 2 4 0 376 377 381
19 1 2 0 1 415 416 417
21 1 2 0 1 465 466 467
12 1 0 7 5 488 489 491
14 1 0 6 1 494 495 500
15 1 1 5 3 506 507 509
22 1 2 0 1 526 527 528
2 1 2 1 2 531 532 533
26 1 3 0 1 592 593 594
28 1 0 0 1 662 663 664
17 1 1 3 1 673 674 676
18 1 2 2 5 714 715 718
29 1 3 0 1 724 725 726
24 1 2 6 3 727 728 731
23 1 2 7 1 731 735 741
20 1 2 4 2 741 744 746
25 1 2 5 6 756 759 760
32 1 0 0 6 780 781 787
37 1 1 0 5 844 845 850
33 1 2 6 0 917 918 924
38 1 3 0 4 920 921 925
40 1 2 0 3 977 978 981
34 1 0 7 5 989 990 992
36 1 0 5 3 1002 1003 1005
41 1 0 0 1 1040 1043 1044
30 1 2 3 4 1043 1044 1045
27 1 0 1 5 1044 1045 1049
35 1 2 4 7 1062 1063 1066
31 1 3 2 7 1084 1086 1091
44 1 0 0 2 1100 1105 1107
39 1 2 6 5 1167 1168 1169
49 1 0 0 5 1165 1167 1172
43 1 1 5 6 1228 1229 1230
50 1 0 0 2 1227 1232 1234
42 1 3 7 4 1257 1258 1261
52 1 0 0 2 1285 1287 1289
55 1 0 0 5 1339 1341 1346
51 1 1 6 1 1400 1401 1406
48 1 1 2 5 1404 1407 1410
56 1 1 0 6 1405 1415 1421
45 1 3 3 4 1434 1435 1436
47 1 3 4 0 1434 1437 1441
53 1 2 5 3 1451 1452 1454
59 1 3 0 2 1465 1466 1468
54 1 1 7 5 1493 1494 1496
46 1 3 1 0 1512 1513 1514
63 1 3 0 7 1532 1533 1540
66 1 2 0 6 1577 1580 1586
67 1 0 0 5 1639 1644 1649
57 1 2 6 1 1658 1659 1664
62 1 1 5 0 1690 1691 1696
68 1 2 0 4 1692 1693 1697
64 1 3 7 2 1732 1733 1738
58 1 3 2 5 1761 1762 1765
71 1 1 0 6 1761 1762 1768
61 1 2 4 0 1764 1765 1769
60 1 3 3 2 1781 1783 1784
73 1 2 0 3 1814 1815 1818
77 1 3 0 3 1876 1878 1881
70 1 0 5 2 1918 1919 1922
78 1 0 0 1 1926 1928 1929
69 1 1 6 1 1931 1932 1937
