clientID partySize elevatorID arrivalFloor dropoffFloor createTime pickupTime dropoffTime
1 1 4 0 9 60 61 70
36 1 7 35 31 90 125 129
37 1 5 36 11 76 112 137
39 1 3 38 16 90 128 150
40 1 6 0 28 124 125 153
35 1 7 34 4 91 124 156
38 1 0 37 0 100 137 174
46 1 1 0 23 185 186 209
43 1 4 35 34 183 208 211
41 1 4 36 29 182 209 216
45 1 0 37 19 185 211 231
44 1 4 34 9 208 211 236
31 1 6 30 15 222 224 239
42 1 0 38 8 158 212 242
51 1 4 0 2 242 251 253
33 1 3 32 28 247 263 267
29 1 3 28 20 256 267 275
47 1 6 38 30 245 268 276
48 1 6 36 30 278 284 290
34 1 5 33 0 239 261 294
32 1 2 31 12 257 288 307
49 1 0 35 18 264 291 308
30 1 5 29 35 258 323 329
23 1 3 22 23 342 344 345
55 1 1 0 38 296 319 357
52 1 1 34 38 314 353 357
27 1 6 26 15 346 350 361
17 1 6 16 13 353 360 363
15 1 3 14 24 345 354 364
7 1 4 6 33 315 337 364
56 1 7 38 37 330 364 365
50 1 5 37 2 275 331 366
62 1 1 37 27 353 358 368
11 1 2 10 13 364 366 369
61 1 4 35 38 357 366 369
21 1 0 20 36 359 361 377
28 1 1 27 14 363 368 381
14 1 2 13 28 362 369 384
22 1 6 21 34 348 371 384
5 1 3 4 6 362 384 386
24 1 5 23 24 357 387 388
6 1 5 5 26 361 369 390
18 1 1 17 3 363 378 392
20 1 7 19 24 390 397 402
8 1 1 7 16 357 396 405
13 1 7 12 28 339 390 406
26 1 2 25 36 393 396 407
64 1 4 0 6 362 407 413
12 1 6 11 3 378 407 415
65 1 7 34 37 404 412 415
9 1 5 8 0 363 408 416
16 1 6 15 0 373 403 418
25 1 0 24 26 409 419 421
19 1 1 18 35 385 407 424
10 1 0 9 37 369 404 432
81 1 7 0 4 419 456 460
67 1 1 38 7 427 430 461
53 1 6 30 23 447 448 467
63 1 6 36 20 380 454 470
90 1 6 36 19 453 454 471
76 1 3 35 34 448 477 478
74 1 4 37 4 446 477 510
96 1 4 0 2 482 514 516
4 1 4 3 7 511 517 521
57 1 0 32 13 511 516 535
94 1 6 34 15 502 517 536
2 1 3 1 22 490 523 544
58 1 1 28 16 521 527 559
54 1 3 33 23 490 555 565
60 1 0 29 11 520 551 569
3 1 4 2 7 560 565 570
97 1 1 38 3 506 537 572
59 1 3 31 34 530 573 576
98 1 5 37 29 533 570 578
101 1 7 36 12 542 574 598
100 1 1 35 30 542 604 609
113 1 3 0 20 598 610 630
105 1 1 34 3 587 603 636
102 1 3 0 29 538 610 639
106 1 0 38 6 600 627 659
115 1 1 36 23 635 669 682
112 1 7 37 16 640 665 686
114 1 5 35 4 652 658 689
99 1 0 30 23 658 683 690
73 1 0 16 18 679 697 699
70 1 0 14 9 693 703 708
69 1 4 22 19 697 712 715
78 1 4 20 17 705 710 717
117 1 5 34 35 682 719 720
66 1 7 6 13 703 713 720
86 1 6 10 16 713 715 721
72 1 0 21 19 711 723 725
119 1 1 38 20 693 708 726
82 1 3 13 10 714 730 733
79 1 6 5 35 700 710 740
83 1 2 8 7 720 740 741
71 1 6 26 36 704 731 741
77 1 2 23 3 712 725 745
75 1 4 7 22 724 734 749
68 1 1 12 36 703 734 758
126 1 1 34 36 752 756 758
85 1 6 27 19 740 750 758
104 1 7 33 21 730 750 762
92 1 6 19 28 751 759 768
84 1 4 17 2 728 754 769
121 1 3 37 31 739 766 772
118 1 5 0 18 665 755 773
109 1 0 29 25 763 773 777
111 1 3 31 24 754 772 779
124 1 5 0 26 733 755 781
91 1 1 18 7 749 776 787
110 1 0 28 9 767 772 793
122 1 7 35 16 745 776 795
88 1 1 15 16 764 795 796
93 1 2 25 34 761 788 797
107 1 3 32 1 742 761 802
120 1 6 36 6 720 776 806
80 1 6 4 8 739 808 812
89 1 3 11 15 740 812 816
144 1 6 0 13 781 820 833
87 1 2 9 22 778 822 835
95 1 3 24 14 787 825 835
153 1 0 34 25 835 860 869
140 1 4 36 22 823 857 871
128 1 3 38 21 804 859 876
150 1 7 35 1 826 845 879
123 1 6 30 11 866 883 902
160 1 4 0 10 851 893 903
163 1 5 36 31 917 927 932
146 1 4 37 19 840 930 948
167 1 0 0 24 903 928 952
164 1 1 35 8 910 929 956
165 1 7 34 13 909 942 963
162 1 0 38 1 906 966 1003
149 1 6 32 35 983 1004 1007
170 1 2 38 37 991 1007 1008
156 1 3 29 31 1001 1017 1019
166 1 7 37 4 942 987 1020
169 1 3 0 37 967 988 1025
175 1 0 0 8 1024 1025 1033
154 1 4 31 14 1006 1018 1035
171 1 3 34 16 992 1028 1046
136 1 6 23 25 1032 1044 1046
127 1 4 14 2 1031 1035 1047
172 1 1 35 23 1011 1038 1050
158 1 3 28 8 996 1034 1054
143 1 7 33 23 999 1049 1059
125 1 3 16 31 1022 1062 1077
131 1 7 6 7 1049 1076 1077
173 1 1 36 20 1015 1063 1079
138 1 4 13 9 1064 1075 1079
103 1 6 1 16 1032 1070 1085
152 1 0 19 18 1078 1087 1088
174 1 0 37 17 1040 1069 1089
151 1 0 18 15 1061 1088 1091
129 1 6 22 19 1053 1091 1094
132 1 0 12 10 1044 1094 1096
130 1 7 5 22 1066 1079 1096
137 1 0 10 9 1073 1096 1097
135 1 7 21 17 1078 1097 1101
133 1 2 26 5 1075 1086 1107
108 1 3 3 0 1033 1105 1108
147 1 5 11 13 1088 1108 1110
142 1 7 17 35 1097 1102 1120
155 1 2 25 27 1109 1129 1131
141 1 1 7 30 1098 1111 1134
183 1 4 35 3 1084 1110 1142
178 1 0 34 10 1081 1122 1146
186 1 6 0 34 1074 1113 1147
134 1 1 20 12 1105 1144 1152
168 1 3 30 11 1098 1138 1157
116 1 7 2 9 1046 1153 1160
139 1 4 8 22 1097 1147 1161
145 1 4 4 24 1127 1143 1163
148 1 5 27 6 1117 1124 1163
184 1 5 36 2 1098 1133 1167
161 1 4 24 32 1151 1163 1171
200 1 0 0 16 1136 1156 1172
204 1 2 34 38 1164 1171 1175
159 1 0 9 22 1162 1165 1178
211 1 2 36 33 1175 1177 1180
205 1 6 35 22 1179 1180 1193
157 1 0 15 1 1143 1185 1199
218 1 7 0 3 1198 1207 1210
212 1 5 38 29 1195 1203 1212
177 1 5 38 28 1098 1203 1213
181 1 5 29 28 1233 1234 1235
222 1 2 34 32 1259 1260 1262
191 1 0 37 0 1123 1235 1272
176 1 7 32 4 1215 1244 1272
216 1 3 37 19 1235 1261 1279
182 1 2 31 30 1280 1281 1282
179 1 3 28 32 1256 1288 1292
223 1 6 36 16 1266 1280 1300
226 1 4 0 16 1262 1294 1310
180 1 0 33 9 1274 1307 1331
224 1 4 35 27 1281 1329 1337
225 1 6 38 11 1286 1322 1349
229 1 2 37 8 1315 1322 1351
231 1 7 34 31 1335 1365 1368
209 1 5 30 0 1346 1348 1378
233 1 0 36 32 1354 1381 1385
232 1 2 0 29 1336 1359 1388
189 1 1 23 16 1388 1399 1406
240 1 5 0 7 1402 1403 1410
187 1 1 14 5 1390 1408 1417
236 1 6 35 11 1371 1395 1419
185 1 3 16 37 1384 1400 1421
237 1 7 38 0 1376 1383 1421
197 1 6 13 7 1412 1417 1423
196 1 0 18 19 1409 1423 1424
195 1 3 22 18 1387 1436 1440
238 1 4 37 17 1410 1420 1440
202 1 2 19 17 1430 1440 1442
207 1 5 8 3 1438 1439 1444
