clientID partySize elevatorID arrivalFloor dropoffFloor createTime pickupTime dropoffTime
1 1 0 0 9 60 61 70
36 1 0 35 31 90 102 108
37 1 0 36 11 76 103 128
35 1 0 34 4 91 101 135
40 1 6 0 28 124 125 153
43 1 6 35 34 183 189 192
41 1 6 36 29 182 190 197
38 1 0 37 0 100 168 205
46 1 2 0 23 185 186 209
45 1 6 37 19 185 205 223
31 1 2 30 15 222 229 244
51 1 7 0 2 242 243 245
33 1 0 32 28 247 249 253
44 1 6 34 9 208 238 263
39 1 0 38 16 90 243 265
42 1 0 38 8 158 243 273
30 1 0 29 35 258 294 300
29 1 0 28 20 256 307 315
34 1 6 33 0 239 287 320
32 1 0 31 12 257 304 323
55 1 1 0 38 296 297 335
52 1 0 34 38 314 345 349
7 1 6 6 33 315 326 353
13 1 2 12 28 339 342 358
61 1 1 35 38 357 360 363
22 1 2 21 34 348 351 364
11 1 7 10 13 364 365 368
49 1 0 35 18 264 352 369
64 1 3 0 6 362 363 369
27 1 6 26 15 346 360 371
8 1 7 7 16 357 362 371
18 1 6 17 3 363 369 383
14 1 7 13 28 362 368 383
17 1 2 16 13 353 382 385
28 1 0 27 14 363 378 391
15 1 2 14 24 345 386 396
20 1 2 19 24 390 391 396
24 1 2 23 24 357 395 396
10 1 3 9 37 369 372 400
23 1 6 22 23 342 402 403
26 1 2 25 36 393 397 408
65 1 2 34 37 404 406 409
9 1 7 8 0 363 403 411
19 1 0 18 35 385 395 412
56 1 0 38 37 330 415 416
21 1 6 20 36 359 400 416
5 1 7 4 6 362 415 417
47 1 0 38 30 245 415 423
81 1 4 0 4 419 420 424
62 1 0 37 27 353 416 426
6 1 7 5 26 361 416 437
12 1 6 11 3 378 441 449
50 1 0 37 2 275 416 451
76 1 2 35 34 448 450 451
16 1 6 15 0 373 437 452
53 1 7 30 23 447 451 458
67 1 1 38 7 427 428 459
25 1 6 24 26 409 476 478
96 1 5 0 2 482 483 485
48 1 6 36 30 278 488 494
54 1 2 33 23 490 491 501
63 1 6 36 20 380 488 504
90 1 6 36 19 453 488 505
2 1 5 1 22 490 491 512
4 1 0 3 7 511 512 516
94 1 3 34 15 502 505 524
58 1 2 28 16 521 526 538
60 1 6 29 11 520 531 549
74 1 6 37 4 446 523 556
57 1 3 32 13 511 541 560
3 1 0 2 7 560 565 570
102 1 4 0 29 538 542 571
59 1 6 31 34 530 583 586
100 1 3 35 30 542 582 587
98 1 6 37 29 533 589 597
101 1 3 36 12 542 593 617
105 1 6 34 3 587 592 623
113 1 0 0 20 598 605 625
115 1 3 36 23 635 641 658
112 1 3 37 16 640 642 665
99 1 4 30 23 658 659 666
106 1 3 38 6 600 643 675
97 1 3 38 3 506 643 678
73 1 2 16 18 679 680 682
118 1 6 0 18 665 668 686
117 1 7 34 35 682 693 694
70 1 2 14 9 693 697 702
72 1 0 21 19 711 712 714
119 1 7 38 20 693 697 715
78 1 7 20 17 705 715 718
69 1 3 22 19 697 723 726
83 1 4 8 7 720 728 729
68 1 2 12 36 703 706 730
79 1 1 5 35 700 702 732
77 1 4 23 3 712 713 733
114 1 3 35 4 652 710 741
84 1 7 17 2 728 729 744
89 1 4 11 15 740 741 745
104 1 1 33 21 730 734 746
75 1 4 7 22 724 737 752
82 1 1 13 10 714 754 757
92 1 0 19 28 751 752 761
120 1 2 36 6 720 731 761
86 1 1 10 16 713 758 764
126 1 4 34 36 752 764 766
109 1 0 29 25 763 764 768
93 1 3 25 34 761 762 771
71 1 3 26 36 704 763 773
91 1 1 18 7 749 766 777
111 1 4 31 24 754 771 778
88 1 1 15 16 764 785 786
110 1 0 28 9 767 771 790
87 1 1 9 22 778 779 792
121 1 2 37 31 739 792 798
85 1 1 27 19 740 797 805
80 1 3 4 8 739 805 809
144 1 4 0 13 781 802 815
66 1 1 6 13 703 818 825
128 1 2 38 21 804 811 828
124 1 4 0 26 733 802 828
95 1 3 24 14 787 825 835
153 1 2 34 25 835 841 854
140 1 2 36 22 823 843 857
160 1 7 0 10 851 853 863
107 1 1 32 1 742 844 875
146 1 2 37 19 840 872 890
123 1 2 30 11 866 879 898
122 1 1 35 16 745 909 928
165 1 1 34 13 909 910 931
167 1 0 0 24 903 912 936
150 1 1 35 1 826 909 943
166 1 4 37 4 942 953 986
164 1 1 35 8 910 977 1004
143 1 0 33 23 999 1001 1013
