clientID partySize elevatorID arrivalFloor dropoffFloor createTime pickupTime dropoffTime
1 1 0 0 9 60 61 70
36 1 0 35 31 90 102 108
37 1 0 36 11 76 103 128
35 1 0 34 4 91 101 135
40 1 6 0 28 124 125 153
43 1 6 35 34 183 189 192
41 1 6 36 29 182 190 197
38 1 0 37 0 100 168 205
46 1 2 0 23 185 186 209
45 1 6 37 19 185 205 223
31 1 2 30 15 222 229 244
51 1 7 0 2 242 243 245
33 1 0 32 28 247 249 253
44 1 6 34 9 208 238 263
39 1 0 38 16 90 243 265
42 1 0 38 8 158 243 273
30 1 0 29 35 258 294 300
49 1 2 35 18 264 284 301
29 1 0 28 20 256 307 315
34 1 6 33 0 239 287 320
32 1 0 31 12 257 304 323
48 1 2 36 30 278 319 325
52 1 2 34 38 314 329 333
55 1 1 0 38 296 297 335
56 1 0 38 37 330 349 350
7 1 6 6 33 315 326 353
47 1 0 38 30 245 349 357
15 1 7 14 24 345 351 361
24 1 7 23 24 357 360 361
62 1 1 37 27 353 354 364
13 1 7 12 28 339 349 365
50 1 2 37 2 275 334 369
64 1 4 0 6 362 363 369
11 1 3 10 13 364 367 370
27 1 6 26 15 346 360 371
8 1 3 7 16 357 364 373
28 1 1 27 14 363 364 377
17 1 7 16 13 353 377 380
6 1 3 5 26 361 362 383
18 1 6 17 3 363 369 383
14 1 3 13 28 362 370 385
10 1 4 9 37 369 372 400
61 1 1 35 38 357 398 401
22 1 2 21 34 348 388 401
63 1 0 36 20 380 386 402
23 1 6 22 23 342 402 403
21 1 7 20 36 359 387 403
65 1 7 34 37 404 406 409
25 1 6 24 26 409 410 412
16 1 3 15 0 373 398 413
5 1 3 4 6 362 417 419
81 1 5 0 4 419 420 424
12 1 2 11 3 378 424 432
9 1 2 8 0 363 427 435
20 1 3 19 24 390 432 437
76 1 7 35 34 448 449 450
53 1 6 30 23 447 451 458
67 1 1 38 7 427 428 459
19 1 2 18 35 385 453 470
26 1 2 25 36 393 460 471
90 1 4 36 19 453 454 471
74 1 7 37 4 446 447 480
96 1 5 0 2 482 486 488
54 1 2 33 23 490 493 503
2 1 5 1 22 490 491 512
4 1 7 3 7 511 512 516
94 1 3 34 15 502 512 531
57 1 3 32 13 511 514 533
58 1 6 28 16 521 526 538
59 1 5 31 34 530 539 542
60 1 2 29 11 520 526 544
100 1 5 35 30 542 543 548
3 1 1 2 7 560 565 570
102 1 7 0 29 538 545 574
101 1 5 36 12 542 554 578
97 1 3 38 3 506 558 593
98 1 5 37 29 533 603 611
113 1 3 0 20 598 601 621
105 1 7 34 3 587 592 623
106 1 5 38 6 600 620 652
115 1 0 36 23 635 651 664
99 1 0 30 23 658 671 678
73 1 6 16 18 679 680 682
118 1 7 0 18 665 668 686
70 1 2 14 9 693 696 701
69 1 3 22 19 697 699 702
66 1 1 6 13 703 704 711
72 1 4 21 19 711 713 715
82 1 1 13 10 714 715 718
114 1 0 35 4 652 690 721
71 1 3 26 36 704 711 721
83 1 1 8 7 720 722 723
68 1 2 12 36 703 706 730
79 1 5 5 35 700 701 731
86 1 0 10 16 713 727 733
77 1 4 23 3 712 719 739
78 1 3 20 17 705 737 740
80 1 4 4 8 739 740 744
84 1 6 17 2 728 729 744
104 1 5 33 21 730 733 745
89 1 3 11 15 740 746 750
117 1 0 34 35 682 751 752
85 1 5 27 19 740 751 759
121 1 0 37 31 739 754 760
91 1 7 18 7 749 750 761
124 1 1 0 26 733 740 766
111 1 0 31 24 754 760 767
112 1 0 37 16 640 754 775
107 1 2 32 1 742 746 777
109 1 3 29 25 763 764 782
92 1 7 19 28 751 773 782
110 1 1 28 9 767 769 788
88 1 2 15 16 764 791 792
87 1 4 9 22 778 779 792
126 1 0 34 36 752 793 795
144 1 6 0 13 781 783 796
120 1 3 36 6 720 771 801
95 1 7 24 14 787 791 801
119 1 0 38 20 693 797 815
93 1 3 25 34 761 820 829
122 1 2 35 16 745 811 830
75 1 0 7 22 724 828 843
150 1 3 35 1 826 830 864
160 1 1 0 10 851 860 870
146 1 4 37 19 840 855 873
128 1 0 38 21 804 859 876
123 1 0 30 11 866 867 886
153 1 3 34 25 835 897 906
140 1 3 36 22 823 917 931
167 1 1 0 24 903 913 937
165 1 3 34 13 909 915 940
164 1 3 35 8 910 916 945
163 1 3 36 31 917 973 978
166 1 1 37 4 942 955 988
