clientID partySize elevatorID arrivalFloor dropoffFloor createTime pickupTime dropoffTime
1 1 0 0 9 60 61 70
36 1 0 35 31 90 102 108
37 1 0 36 11 76 103 128
35 1 0 34 4 91 101 135
40 1 6 0 28 124 125 153
38 1 0 37 0 100 168 205
46 1 2 0 23 185 186 209
31 1 2 30 15 222 224 239
43 1 0 35 34 183 240 241
44 1 2 34 9 208 220 245
51 1 7 0 2 242 243 245
29 1 6 28 20 256 257 265
34 1 0 33 0 239 242 275
30 1 6 29 35 258 274 280
32 1 6 31 12 257 284 303
33 1 0 32 28 247 307 311
48 1 0 36 30 278 319 325
41 1 0 36 29 182 319 326
52 1 0 34 38 314 331 335
55 1 4 0 38 296 297 335
49 1 6 35 18 264 326 343
7 1 2 6 33 315 318 345
23 1 6 22 23 342 347 348
45 1 0 37 19 185 336 354
27 1 0 26 15 346 347 358
17 1 0 16 13 353 357 360
22 1 6 21 34 348 350 363
62 1 4 37 27 353 354 364
64 1 5 0 6 362 363 369
50 1 0 37 2 275 336 371
8 1 7 7 16 357 362 371
24 1 6 23 24 357 374 375
28 1 4 27 14 363 364 377
11 1 0 10 13 364 379 382
9 1 7 8 0 363 379 387
12 1 4 11 3 378 380 388
16 1 4 15 0 373 376 391
5 1 7 4 6 362 391 393
15 1 6 14 24 345 385 395
14 1 0 13 28 362 382 397
63 1 2 36 20 380 383 399
19 1 0 18 35 385 387 404
21 1 0 20 36 359 389 405
20 1 6 19 24 390 400 405
61 1 0 35 38 357 404 407
6 1 7 5 26 361 392 413
25 1 7 24 26 409 411 413
26 1 2 25 36 393 404 415
81 1 3 0 4 419 420 424
10 1 7 9 37 369 396 424
13 1 6 12 28 339 417 433
18 1 0 17 3 363 428 442
76 1 4 35 34 448 449 450
53 1 6 30 23 447 449 456
90 1 2 36 19 453 454 471
65 1 0 34 37 404 473 476
56 1 0 38 37 330 477 478
74 1 7 37 4 446 447 480
47 1 0 38 30 245 477 485
96 1 1 0 2 482 483 485
39 1 0 38 16 90 477 499
54 1 4 33 23 490 491 501
42 1 0 38 8 158 477 507
67 1 0 38 7 427 477 508
2 1 1 1 22 490 491 512
4 1 7 3 7 511 512 516
58 1 1 28 16 521 526 538
57 1 1 32 13 511 522 541
60 1 1 29 11 520 525 543
59 1 1 31 34 530 563 566
3 1 5 2 7 560 564 569
102 1 3 0 29 538 542 571
94 1 1 34 15 502 567 586
100 1 1 35 30 542 606 611
105 1 3 34 3 587 592 623
113 1 7 0 20 598 605 625
101 1 1 36 12 542 617 641
99 1 1 30 23 658 659 678
115 1 1 36 23 635 665 678
118 1 3 0 18 665 668 686
73 1 3 16 18 679 684 686
114 1 1 35 4 652 664 697
69 1 4 22 19 697 698 701
78 1 7 20 17 705 706 709
72 1 2 21 19 711 713 715
71 1 6 26 36 704 707 717
83 1 5 8 7 720 721 722
117 1 1 34 35 682 727 728
79 1 0 5 35 700 702 732
68 1 0 12 36 703 709 733
75 1 5 7 22 724 725 740
84 1 7 17 2 728 729 744
104 1 0 33 21 730 736 748
85 1 0 27 19 740 742 750
77 1 6 23 3 712 730 750
80 1 7 4 8 739 746 750
70 1 1 14 9 693 749 754
82 1 0 13 10 714 756 759
92 1 2 19 28 751 752 761
91 1 3 18 7 749 750 761
89 1 6 11 15 740 758 762
86 1 0 10 16 713 760 766
88 1 0 15 16 764 765 766
126 1 2 34 36 752 767 769
109 1 2 29 25 763 776 780
111 1 2 31 24 754 774 781
124 1 7 0 26 733 758 784
121 1 1 37 31 739 782 788
98 1 1 37 29 533 782 790
87 1 3 9 22 778 780 793
110 1 2 28 9 767 777 796
95 1 0 24 14 787 790 800
112 1 1 37 16 640 782 803
107 1 0 32 1 742 782 813
120 1 6 36 6 720 783 813
93 1 2 25 34 761 812 821
66 1 0 6 13 703 818 825
144 1 3 0 13 781 815 828
140 1 1 36 22 823 827 841
128 1 1 38 21 804 825 842
119 1 1 38 20 693 825 843
153 1 2 34 25 835 836 845
106 1 1 38 6 600 825 857
97 1 1 38 3 506 825 860
122 1 0 35 16 745 847 866
160 1 1 0 10 851 863 873
146 1 2 37 19 840 857 875
150 1 0 35 1 826 847 881
123 1 2 30 11 866 886 905
167 1 0 0 24 903 904 928
165 1 7 34 13 909 917 938
166 1 0 37 4 942 943 976
162 1 0 38 1 906 942 979
164 1 7 35 8 910 960 987
