clientID partySize elevatorID arrivalFloor dropoffFloor createTime pickupTime dropoffTime
1 1 1 0 9 60 61 70
36 1 1 35 31 90 102 108
37 1 1 36 11 76 103 128
35 1 1 34 4 91 101 135
40 1 5 0 28 124 125 153
43 1 5 35 34 183 189 192
41 1 5 36 29 182 190 197
38 1 1 37 0 100 168 205
46 1 6 0 23 185 186 209
45 1 5 37 19 185 205 223
44 1 6 34 9 208 220 245
51 1 7 0 2 242 243 245
31 1 5 30 15 222 234 249
33 1 1 32 28 247 249 253
39 1 1 38 16 90 243 265
42 1 1 38 8 158 243 273
29 1 5 28 20 256 262 280
32 1 5 31 12 257 265 288
34 1 5 33 0 239 267 300
48 1 6 36 30 278 302 310
30 1 5 29 35 258 329 335
55 1 7 0 38 296 298 336
52 1 7 34 38 314 332 336
50 1 6 37 2 275 303 338
7 1 3 6 33 315 321 348
49 1 5 35 18 264 336 353
23 1 5 22 23 342 357 358
13 1 1 12 28 339 343 359
24 1 5 23 24 357 358 359
62 1 7 37 27 353 354 364
22 1 1 21 34 348 352 365
27 1 3 26 15 346 355 366
15 1 6 14 24 345 357 367
5 1 0 4 6 362 366 368
61 1 1 35 38 357 366 369
11 1 4 10 13 364 367 370
17 1 5 16 13 353 367 370
8 1 4 7 16 357 364 373
28 1 7 27 14 363 364 377
9 1 0 8 0 363 370 378
18 1 3 17 3 363 364 378
6 1 4 5 26 361 362 383
14 1 4 13 28 362 370 385
12 1 7 11 3 378 380 388
16 1 7 15 0 373 376 391
21 1 5 20 36 359 377 393
56 1 5 38 37 330 395 396
20 1 6 19 24 390 392 397
63 1 1 36 20 380 382 398
47 1 5 38 30 245 395 403
26 1 4 25 36 393 396 407
65 1 4 34 37 404 405 408
19 1 6 18 35 385 391 408
10 1 0 9 37 369 387 415
25 1 1 24 26 409 413 415
76 1 6 35 34 448 450 451
53 1 5 30 23 447 448 455
81 1 0 0 4 419 452 456
64 1 0 0 6 362 452 458
67 1 4 38 7 427 428 459
90 1 1 36 19 453 463 480
74 1 6 37 4 446 448 481
96 1 7 0 2 482 483 485
54 1 5 33 23 490 500 510
2 1 7 1 22 490 491 512
4 1 0 3 7 511 514 518
94 1 1 34 15 502 517 536
57 1 1 32 13 511 515 538
58 1 5 28 16 521 525 539
59 1 7 31 34 530 539 542
60 1 5 29 11 520 526 544
100 1 7 35 30 542 543 548
3 1 6 2 7 560 562 567
102 1 2 0 29 538 539 568
101 1 7 36 12 542 554 578
97 1 1 38 3 506 563 598
98 1 7 37 29 533 603 611
113 1 1 0 20 598 601 621
105 1 2 34 3 587 592 623
106 1 7 38 6 600 620 652
115 1 1 36 23 635 651 664
99 1 1 30 23 658 671 678
118 1 2 0 18 665 668 686
73 1 2 16 18 679 684 686
70 1 3 14 9 693 695 700
114 1 3 35 4 652 674 705
69 1 1 22 19 697 707 710
66 1 6 6 13 703 704 711
78 1 1 20 17 705 709 712
112 1 1 37 16 640 692 713
82 1 6 13 10 714 715 718
86 1 4 10 16 713 716 722
83 1 6 8 7 720 722 723
