clientID partySize elevatorID arrivalFloor dropoffFloor createTime pickupTime dropoffTime
1 1 0 0 6 60 61 67
9 1 0 8 0 83 85 93
10 1 0 9 8 98 102 105
11 1 0 10 4 93 103 109
12 1 0 0 8 118 122 130
16 1 1 0 10 165 166 176
15 1 0 9 1 171 172 180
14 1 1 10 9 189 190 191
13 1 0 8 0 176 187 195
8 1 1 7 5 233 235 237
17 1 1 0 4 242 247 251
18 1 1 9 0 249 256 265
6 1 1 5 3 260 270 272
19 1 0 8 10 269 277 279
7 1 1 6 1 263 275 280
20 1 1 10 8 273 289 291
22 1 0 0 8 302 312 320
23 1 0 9 0 343 344 353
3 1 0 2 4 348 355 357
5 1 1 4 0 352 356 360
26 1 1 8 6 357 368 370
27 1 0 10 8 364 370 372
4 1 1 3 8 369 373 378
28 1 0 0 1 366 380 381
34 1 0 0 7 422 423 430
29 1 0 9 8 433 435 436
32 1 0 8 5 461 462 465
33 1 0 10 4 470 475 481
21 1 1 7 9 479 480 482
36 1 0 0 8 481 485 493
24 1 1 5 4 493 497 498
37 1 0 9 0 513 514 523
25 1 0 6 5 519 529 530
2 1 0 1 9 532 536 544
38 1 1 8 10 543 547 549
41 1 0 0 6 540 553 559
39 1 0 10 0 561 565 575
43 1 0 9 4 587 596 601
46 1 0 0 5 603 607 612
47 1 0 8 2 638 641 647
48 1 1 10 8 647 648 650
49 1 0 9 5 662 669 673
50 1 1 0 8 666 674 682
30 1 1 2 8 694 700 706
54 1 0 0 1 709 714 715
31 1 1 4 6 716 720 722
42 1 0 5 6 729 733 734
40 1 1 7 6 734 735 736
51 1 0 8 1 735 737 744
35 1 0 3 5 747 749 751
52 1 1 10 9 746 750 751
44 1 0 6 3 750 752 755
53 1 0 9 10 751 761 762
56 1 1 0 6 764 773 779
61 1 0 10 7 819 820 823
60 1 1 8 1 822 824 831
65 1 0 0 1 824 831 832
64 1 1 9 8 831 839 840
68 1 0 0 2 872 873 875
66 1 1 10 9 903 905 906
67 1 1 8 1 908 909 916
69 1 0 9 0 936 943 952
70 1 0 0 3 938 953 956
59 1 0 7 9 975 979 981
63 1 0 6 4 994 997 999
58 1 1 5 4 998 1002 1003
72 1 1 8 10 999 1007 1009
74 1 0 0 7 995 1003 1010
71 1 1 10 3 1010 1011 1018
73 1 0 9 0 1015 1017 1026
77 1 1 0 3 1050 1053 1056
55 1 0 2 4 1054 1056 1058
57 1 0 4 8 1059 1060 1064
79 1 0 8 4 1085 1086 1090
80 1 1 10 5 1087 1094 1099
45 1 0 1 0 1105 1108 1109
81 1 0 9 10 1106 1118 1119
82 1 1 0 9 1112 1117 1126
62 1 0 3 2 1136 1143 1144
86 1 1 10 6 1162 1163 1167
85 1 1 8 9 1175 1177 1178
89 1 0 0 10 1171 1173 1183
88 1 0 9 6 1195 1196 1199
78 1 0 5 3 1222 1223 1225
75 1 0 7 4 1223 1229 1232
92 1 0 0 5 1239 1243 1248
76 1 0 6 8 1244 1249 1251
91 1 0 10 6 1250 1253 1257
93 1 0 8 7 1269 1271 1272
94 1 1 9 6 1284 1285 1288
97 1 0 0 9 1316 1323 1332
99 1 0 10 6 1337 1338 1342
100 1 1 8 1 1371 1373 1380
102 1 1 0 1 1375 1381 1382
101 1 1 9 10 1382 1390 1391
84 1 0 4 9 1418 1420 1425
103 1 1 10 7 1423 1424 1427
83 1 0 2 4 1424 1432 1434
96 1 1 7 4 1435 1436 1439
105 1 0 0 9 1436 1440 1449
95 1 0 5 0 1449 1453 1458
104 1 0 8 10 1451 1466 1468
106 1 1 9 8 1465 1470 1471
98 1 1 6 4 1492 1494 1496
90 1 1 3 4 1499 1500 1501
108 1 1 10 4 1502 1508 1514
111 1 1 0 5 1515 1519 1524
113 1 1 8 4 1555 1558 1562
114 1 0 9 0 1557 1558 1567
118 1 1 0 5 1561 1566 1571
117 1 0 10 8 1591 1601 1603
121 1 1 0 1 1626 1631 1632
87 1 0 1 7 1622 1629 1635
119 1 0 8 9 1644 1645 1646
120 1 1 9 1 1643 1651 1659
110 1 0 7 0 1665 1667 1674
112 1 0 5 6 1667 1679 1680
122 1 0 10 8 1675 1684 1686
124 1 0 0 1 1690 1698 1699
115 1 1 6 1 1714 1719 1724
126 1 0 8 10 1729 1736 1738
125 1 1 9 7 1739 1747 1749
109 1 0 2 3 1749 1757 1758
129 1 0 10 1 1757 1765 1774
130 1 0 0 1 1749 1775 1776
107 1 1 4 0 1769 1772 1776
134 1 1 0 7 1821 1822 1829
132 1 0 8 2 1821 1828 1834
133 1 0 9 3 1826 1841 1847
136 1 1 10 7 1849 1852 1855
116 1 0 3 9 1869 1870 1876
140 1 1 9 8 1887 1889 1890
138 1 0 0 7 1888 1897 1904
127 1 1 7 4 1912 1913 1916
139 1 0 8 3 1921 1922 1927
128 1 0 5 3 1922 1925 1927
141 1 0 10 4 1943 1950 1956
131 1 1 6 8 1958 1960 1962
144 1 0 0 8 1952 1960 1968
143 1 0 9 10 1992 1993 1994
146 1 1 8 5 2003 2004 2007
149 1 1 0 9 2012 2017 2026
148 1 0 10 2 2030 2031 2039
153 1 1 0 7 2077 2086 2093
152 1 1 8 1 2089 2094 2101
123 1 0 1 0 2110 2111 2112
151 1 1 9 3 2090 2109 2115
135 1 1 2 8 2106 2116 2122
137 1 1 4 9 2119 2126 2131
154 1 0 10 7 2120 2130 2133
155 1 0 0 1 2143 2150 2151
145 1 1 7 5 2147 2149 2151
147 1 1 5 7 2173 2174 2176
156 1 1 8 2 2175 2177 2183
157 1 1 9 4 2178 2190 2195
162 1 0 0 5 2201 2202 2207
142 1 0 3 7 2208 2210 2214
150 1 0 6 9 2217 2218 2221
161 1 1 10 6 2216 2222 2226
166 1 0 9 3 2256 2257 2263
167 1 0 0 10 2259 2266 2276
165 1 1 8 7 2277 2279 2280
169 1 0 10 5 2324 2325 2330
171 1 1 9 2 2338 2340 2347
172 1 0 0 6 2337 2342 2348
173 1 1 8 4 2364 2370 2374
175 1 0 0 3 2375 2381 2384
163 1 1 7 1 2400 2403 2409
164 1 0 5 9 2411 2413 2417
174 1 1 10 6 2402 2418 2422
176 1 1 9 0 2421 2425 2434
178 1 1 0 7 2440 2441 2448
158 1 0 2 5 2452 2459 2462
177 1 0 8 10 2467 2470 2472
170 1 1 6 8 2482 2483 2485
180 1 1 10 8 2485 2487 2489
160 1 0 4 9 2500 2506 2511
183 1 1 0 2 2507 2515 2517
182 1 1 9 3 2542 2549 2555
185 1 1 8 6 2558 2563 2565
168 1 0 3 9 2566 2572 2578
187 1 0 10 9 2577 2579 2580
189 1 1 0 7 2587 2593 2600
179 1 0 7 5 2621 2623 2625
159 1 1 1 4 2619 2625 2628
191 1 1 8 7 2642 2646 2647
194 1 0 0 7 2642 2647 2654
190 1 0 9 3 2644 2656 2662
181 1 1 5 8 2662 2664 2667
193 1 1 10 2 2664 2669 2677
198 1 1 0 10 2710 2712 2722
197 1 0 8 1 2724 2729 2736
186 1 0 6 3 2739 2744 2747
201 1 0 10 7 2740 2754 2757
199 1 1 9 2 2755 2756 2763
202 1 1 0 10 2780 2782 2792
203 1 0 8 1 2807 2808 2815
184 1 0 2 10 2819 2820 2828
205 1 1 10 8 2839 2840 2842
206 1 0 9 2 2849 2850 2857
207 1 0 0 2 2851 2859 2861
196 1 1 7 10 2871 2872 2875
188 1 1 4 8 2871 2881 2885
212 1 1 0 2 2905 2913 2915
208 1 0 8 1 2911 2917 2924
200 1 0 5 9 2919 2928 2932
192 1 0 3 4 2937 2943 2944
210 1 0 10 4 2941 2950 2956
211 1 0 9 1 2952 2961 2969
215 1 0 0 2 2967 2970 2972
216 1 0 8 7 3002 3008 3009
204 1 0 6 9 3022 3023 3026
