arrivalFloor arrivalTime partySize destinationFloor clientID
0 60 1 6 1
8 83 1 0 9
10 93 1 4 11
9 98 1 8 10
0 118 1 8 12
0 165 1 10 16
9 171 1 1 15
8 176 1 0 13
10 189 1 9 14
7 233 1 5 8
0 242 1 4 17
9 249 1 0 18
5 260 1 3 6
6 263 1 1 7
8 269 1 10 19
10 273 1 8 20
0 302 1 8 22
9 343 1 0 23
2 348 1 4 3
4 352 1 0 5
8 357 1 6 26
10 364 1 8 27
0 366 1 1 28
3 369 1 8 4
0 422 1 7 34
9 433 1 8 29
8 461 1 5 32
10 470 1 4 33
7 479 1 9 21
0 481 1 8 36
5 493 1 4 24
9 513 1 0 37
6 519 1 5 25
1 532 1 9 2
0 540 1 6 41
8 543 1 10 38
10 561 1 0 39
9 587 1 4 43
0 603 1 5 46
8 638 1 2 47
10 647 1 8 48
9 662 1 5 49
0 666 1 8 50
2 694 1 8 30
0 709 1 1 54
4 716 1 6 31
5 729 1 6 42
7 734 1 6 40
8 735 1 1 51
10 746 1 9 52
3 747 1 5 35
6 750 1 3 44
9 751 1 10 53
0 764 1 6 56
10 819 1 7 61
8 822 1 1 60
0 824 1 1 65
9 831 1 8 64
0 872 1 2 68
10 903 1 9 66
8 908 1 1 67
9 936 1 0 69
0 938 1 3 70
7 975 1 9 59
6 994 1 4 63
0 995 1 7 74
5 998 1 4 58
8 999 1 10 72
10 1010 1 3 71
9 1015 1 0 73
0 1050 1 3 77
2 1054 1 4 55
4 1059 1 8 57
8 1085 1 4 79
10 1087 1 5 80
1 1105 1 0 45
9 1106 1 10 81
0 1112 1 9 82
3 1136 1 2 62
10 1162 1 6 86
0 1171 1 10 89
8 1175 1 9 85
9 1195 1 6 88
5 1222 1 3 78
7 1223 1 4 75
0 1239 1 5 92
6 1244 1 8 76
10 1250 1 6 91
8 1269 1 7 93
9 1284 1 6 94
0 1316 1 9 97
10 1337 1 6 99
8 1371 1 1 100
0 1375 1 1 102
9 1382 1 10 101
4 1418 1 9 84
10 1423 1 7 103
2 1424 1 4 83
7 1435 1 4 96
0 1436 1 9 105
5 1449 1 0 95
8 1451 1 10 104
9 1465 1 8 106
6 1492 1 4 98
3 1499 1 4 90
10 1502 1 4 108
0 1515 1 5 111
8 1555 1 4 113
9 1557 1 0 114
0 1561 1 5 118
10 1591 1 8 117
1 1622 1 7 87
0 1626 1 1 121
9 1643 1 1 120
8 1644 1 9 119
7 1665 1 0 110
5 1667 1 6 112
10 1675 1 8 122
0 1690 1 1 124
6 1714 1 1 115
8 1729 1 10 126
9 1739 1 7 125
0 1749 1 1 130
2 1749 1 3 109
10 1757 1 1 129
4 1769 1 0 107
0 1821 1 7 134
8 1821 1 2 132
9 1826 1 3 133
10 1849 1 7 136
3 1869 1 9 116
9 1887 1 8 140
0 1888 1 7 138
7 1912 1 4 127
8 1921 1 3 139
5 1922 1 3 128
10 1943 1 4 141
0 1952 1 8 144
6 1958 1 8 131
9 1992 1 10 143
8 2003 1 5 146
0 2012 1 9 149
10 2030 1 2 148
0 2077 1 7 153
8 2089 1 1 152
9 2090 1 3 151
2 2106 1 8 135
1 2110 1 0 123
4 2119 1 9 137
10 2120 1 7 154
0 2143 1 1 155
7 2147 1 5 145
5 2173 1 7 147
8 2175 1 2 156
9 2178 1 4 157
0 2201 1 5 162
3 2208 1 7 142
10 2216 1 6 161
6 2217 1 9 150
9 2256 1 3 166
0 2259 1 10 167
8 2277 1 7 165
10 2324 1 5 169
0 2337 1 6 172
9 2338 1 2 171
8 2364 1 4 173
0 2375 1 3 175
7 2400 1 1 163
10 2402 1 6 174
5 2411 1 9 164
9 2421 1 0 176
0 2440 1 7 178
2 2452 1 5 158
8 2467 1 10 177
6 2482 1 8 170
10 2485 1 8 180
4 2500 1 9 160
0 2507 1 2 183
9 2542 1 3 182
8 2558 1 6 185
3 2566 1 9 168
10 2577 1 9 187
0 2587 1 7 189
1 2619 1 4 159
7 2621 1 5 179
8 2642 1 7 191
0 2642 1 7 194
9 2644 1 3 190
5 2662 1 8 181
10 2664 1 2 193
0 2710 1 10 198
8 2724 1 1 197
6 2739 1 3 186
10 2740 1 7 201
9 2755 1 2 199
0 2780 1 10 202
8 2807 1 1 203
2 2819 1 10 184
10 2839 1 8 205
9 2849 1 2 206
0 2851 1 2 207
4 2871 1 8 188
7 2871 1 10 196
0 2905 1 2 212
8 2911 1 1 208
5 2919 1 9 200
3 2937 1 4 192
10 2941 1 4 210
9 2952 1 1 211
0 2967 1 2 215
8 3002 1 7 216
6 3022 1 9 204
9 3036 1 0 220
0 3039 1 10 221
10 3053 1 3 219
8 3098 1 10 222
0 3099 1 9 225
7 3103 1 4 214
9 3122 1 6 224
10 3130 1 9 226
0 3155 1 2 228
5 3157 1 9 217
2 3163 1 5 209
1 3173 1 2 195
8 3186 1 9 227
9 3211 1 6 230
4 3224 1 1 213
10 3228 1 2 231
0 3238 1 4 232
8 3257 1 2 236
6 3267 1 10 223
3 3281 1 5 218
0 3286 1 8 240
9 3304 1 7 237
10 3314 1 5 239
8 3351 1 6 241
0 3353 1 4 244
7 3366 1 2 229
10 3389 1 1 246
5 3389 1 3 233
9 3391 1 5 245
0 3414 1 1 248
8 3434 1 5 247
10 3464 1 6 250
0 3476 1 2 253
9 3478 1 2 252
6 3499 1 10 242
8 3520 1 10 254
10 3535 1 1 255
0 3536 1 7 256
9 3562 1 0 257
2 3573 1 8 234
4 3580 1 5 238
0 3604 1 2 261
7 3607 1 9 249
8 3612 1 5 259
5 3616 1 3 251
10 3624 1 2 260
0 3654 1 7 265
3 3656 1 5 243
9 3658 1 2 262
1 3663 1 7 235
8 3694 1 1 267
6 3718 1 7 258
0 3719 1 5 270
9 3728 1 5 272
10 3731 1 7 269
8 3775 1 10 274
0 3778 1 7 276
0 3830 1 5 280
9 3833 1 5 277
7 3841 1 8 266
10 3842 1 2 278
5 3844 1 10 268
8 3856 1 3 279
0 3885 1 1 281
9 3921 1 10 282
10 3933 1 0 284
4 3937 1 0 264
8 3939 1 6 286
0 3945 1 8 287
6 3958 1 10 275
2 3963 1 0 263
10 4008 1 1 289
0 4012 1 10 292
3 4014 1 9 271
9 4014 1 4 288
8 4016 1 0 291
0 4062 1 6 296
5 4072 1 2 285
7 4082 1 2 283
10 4102 1 8 295
8 4112 1 1 299
9 4112 1 2 298
0 4128 1 1 300
6 4166 1 10 293
1 4172 1 8 273
0 4180 1 3 306
8 4191 1 6 304
10 4193 1 2 303
9 4201 1 6 305
0 4246 1 7 309
4 4273 1 5 290
10 4276 1 7 311
8 4293 1 2 310
9 4299 1 6 312
0 4302 1 2 313
7 4307 1 8 302
2 4314 1 1 294
5 4320 1 3 301
3 4358 1 5 297
