clientID partySize elevatorID arrivalFloor dropoffFloor createTime pickupTime dropoffTime
1 1 0 0 6 60 61 67
9 1 0 8 0 83 85 93
10 1 0 9 8 98 102 105
11 1 0 10 4 93 103 109
12 1 1 0 8 118 119 127
16 1 0 0 10 165 169 179
15 1 1 9 1 171 172 180
13 1 0 8 0 176 181 189
14 1 1 10 9 189 198 199
8 1 1 7 5 233 235 237
17 1 0 0 4 242 243 247
18 1 1 9 0 249 253 262
6 1 0 5 3 260 261 263
7 1 0 6 1 263 266 271
19 1 0 8 10 269 278 280
20 1 0 10 8 273 281 283
22 1 1 0 8 302 303 311
23 1 1 9 0 343 344 353
3 1 1 2 4 348 355 357
26 1 0 8 6 357 358 360
5 1 1 4 0 352 358 362
28 1 1 0 1 366 367 368
27 1 0 10 8 364 368 370
4 1 1 3 8 369 371 376
29 1 1 9 8 433 434 435
34 1 0 0 7 422 430 437
32 1 1 8 5 461 462 465
33 1 0 10 4 470 473 479
21 1 1 7 9 479 481 483
24 1 0 5 4 493 494 495
36 1 1 0 8 481 492 500
37 1 1 9 0 513 514 523
25 1 1 6 5 519 529 530
2 1 0 1 9 532 535 543
38 1 0 8 10 543 544 546
41 1 0 0 6 540 556 562
39 1 0 10 0 561 566 576
43 1 1 9 4 587 591 596
46 1 0 0 5 603 604 609
47 1 0 8 2 638 641 647
48 1 1 10 8 647 653 655
49 1 1 9 5 662 663 667
50 1 0 0 8 666 668 676
30 1 1 2 8 694 697 703
54 1 0 0 1 709 717 718
31 1 0 4 6 716 721 723
42 1 0 5 6 729 730 731
40 1 1 7 6 734 735 736
51 1 1 8 1 735 738 745
52 1 0 10 9 746 750 751
35 1 1 3 5 747 749 751
53 1 0 9 10 751 752 753
44 1 1 6 3 750 752 755
56 1 1 0 6 764 767 773
61 1 0 10 7 819 820 823
60 1 0 8 1 822 824 831
65 1 0 0 1 824 832 833
64 1 1 9 8 831 834 835
68 1 0 0 2 872 873 875
66 1 1 10 9 903 905 906
67 1 1 8 1 908 909 916
70 1 1 0 3 938 939 942
69 1 0 9 0 936 943 952
59 1 1 7 9 975 979 981
63 1 1 6 4 994 997 999
58 1 1 5 4 998 1000 1001
74 1 0 0 7 995 996 1003
72 1 0 8 10 999 1004 1006
71 1 0 10 3 1010 1011 1018
73 1 0 9 0 1015 1024 1033
77 1 0 0 3 1050 1051 1054
55 1 0 2 4 1054 1055 1057
57 1 0 4 8 1059 1060 1064
79 1 0 8 4 1085 1086 1090
80 1 0 10 5 1087 1096 1101
45 1 1 1 0 1105 1108 1109
81 1 0 9 10 1106 1110 1111
82 1 1 0 9 1112 1113 1122
62 1 1 3 2 1136 1142 1143
86 1 0 10 6 1162 1163 1167
85 1 0 8 9 1175 1177 1178
89 1 1 0 10 1171 1173 1183
88 1 0 9 6 1195 1196 1199
78 1 0 5 3 1222 1223 1225
75 1 0 7 4 1223 1229 1232
92 1 0 0 5 1239 1243 1248
76 1 0 6 8 1244 1249 1251
91 1 1 10 6 1250 1251 1255
93 1 0 8 7 1269 1270 1271
94 1 0 9 6 1284 1286 1289
97 1 0 0 9 1316 1322 1331
99 1 0 10 6 1337 1338 1342
100 1 0 8 1 1371 1373 1380
102 1 0 0 1 1375 1381 1382
101 1 1 9 10 1382 1385 1386
84 1 0 4 9 1418 1421 1426
103 1 1 10 7 1423 1424 1427
83 1 0 2 4 1424 1433 1435
96 1 1 7 4 1435 1436 1439
105 1 1 0 9 1436 1443 1452
95 1 1 5 0 1449 1456 1461
106 1 0 9 8 1465 1470 1471
104 1 1 8 10 1451 1469 1471
98 1 0 6 4 1492 1494 1496
90 1 0 3 4 1499 1500 1501
108 1 1 10 4 1502 1503 1509
111 1 0 0 5 1515 1519 1524
113 1 0 8 4 1555 1558 1562
118 1 0 0 5 1561 1566 1571
114 1 0 9 0 1557 1575 1584
117 1 1 10 8 1591 1597 1599
87 1 0 1 7 1622 1623 1629
121 1 0 0 1 1626 1636 1637
120 1 1 9 1 1643 1644 1652
119 1 1 8 9 1644 1659 1660
110 1 1 7 0 1665 1667 1674
112 1 1 5 6 1667 1679 1680
122 1 1 10 8 1675 1684 1686
124 1 0 0 1 1690 1691 1692
115 1 1 6 1 1714 1716 1721
126 1 0 8 10 1729 1736 1738
125 1 0 9 7 1739 1740 1742
109 1 1 2 3 1749 1750 1751
130 1 1 0 1 1749 1754 1755
129 1 0 10 1 1757 1760 1769
107 1 1 4 0 1769 1772 1776
134 1 1 0 7 1821 1822 1829
132 1 0 8 2 1821 1828 1834
133 1 1 9 3 1826 1831 1837
136 1 1 10 7 1849 1856 1859
116 1 0 3 9 1869 1870 1876
140 1 0 9 8 1887 1888 1889
138 1 0 0 7 1888 1897 1904
127 1 1 7 4 1912 1913 1916
128 1 1 5 3 1922 1923 1925
139 1 0 8 3 1921 1922 1927
141 1 0 10 4 1943 1950 1956
144 1 1 0 8 1952 1955 1963
131 1 1 6 8 1958 1961 1963
143 1 1 9 10 1992 1993 1994
146 1 1 8 5 2003 2005 2008
149 1 0 0 9 2012 2016 2025
148 1 0 10 2 2030 2031 2039
153 1 0 0 7 2077 2079 2086
152 1 0 8 1 2089 2090 2097
151 1 0 9 3 2090 2105 2111
135 1 0 2 8 2106 2112 2118
137 1 1 4 9 2119 2120 2125
123 1 0 1 0 2110 2125 2126
154 1 1 10 7 2120 2126 2129
155 1 0 0 1 2143 2144 2145
145 1 1 7 5 2147 2148 2150
147 1 1 5 7 2173 2174 2176
156 1 1 8 2 2175 2177 2183
157 1 1 9 4 2178 2190 2195
162 1 0 0 5 2201 2202 2207
142 1 1 3 7 2208 2209 2213
150 1 0 6 9 2217 2218 2221
161 1 1 10 6 2216 2219 2223
166 1 0 9 3 2256 2257 2263
167 1 0 0 10 2259 2266 2276
165 1 1 8 7 2277 2279 2280
169 1 0 10 5 2324 2325 2330
171 1 1 9 2 2338 2340 2347
172 1 0 0 6 2337 2342 2348
173 1 0 8 4 2364 2366 2370
175 1 1 0 3 2375 2377 2380
163 1 0 7 1 2400 2403 2409
164 1 1 5 9 2411 2413 2417
174 1 0 10 6 2402 2418 2422
176 1 1 9 0 2421 2422 2431
178 1 1 0 7 2440 2441 2448
158 1 0 2 5 2452 2456 2459
177 1 1 8 10 2467 2468 2470
170 1 0 6 8 2482 2483 2485
180 1 1 10 8 2485 2486 2488
160 1 0 4 9 2500 2504 2509
183 1 0 0 2 2507 2518 2520
182 1 1 9 3 2542 2543 2549
185 1 1 8 6 2558 2563 2565
168 1 0 3 9 2566 2567 2573
187 1 0 10 9 2577 2578 2579
189 1 1 0 7 2587 2593 2600
179 1 0 7 5 2621 2623 2625
159 1 1 1 4 2619 2625 2628
191 1 0 8 7 2642 2645 2646
194 1 1 0 7 2642 2646 2653
190 1 0 9 3 2644 2648 2654
181 1 0 5 8 2662 2664 2667
193 1 0 10 2 2664 2669 2677
198 1 0 0 10 2710 2712 2722
197 1 1 8 1 2724 2725 2732
186 1 0 6 3 2739 2743 2746
201 1 0 10 7 2740 2753 2756
199 1 0 9 2 2755 2758 2765
202 1 1 0 10 2780 2781 2791
203 1 1 8 1 2807 2809 2816
184 1 0 2 10 2819 2820 2828
205 1 0 10 8 2839 2840 2842
207 1 1 0 2 2851 2852 2854
206 1 0 9 2 2849 2850 2857
188 1 1 4 8 2871 2873 2877
196 1 0 7 10 2871 2876 2879
212 1 1 0 2 2905 2913 2915
208 1 0 8 1 2911 2913 2920
200 1 0 5 9 2919 2924 2928
192 1 1 3 4 2937 2938 2939
210 1 0 10 4 2941 2942 2948
211 1 0 9 1 2952 2957 2965
215 1 0 0 2 2967 2968 2970
216 1 1 8 7 3002 3006 3007
204 1 1 6 9 3022 3023 3026
