clientID partySize elevatorID arrivalFloor dropoffFloor createTime pickupTime dropoffTime
1 1 1 0 6 64 65 71
10 1 1 9 7 79 82 84
9 1 1 8 2 81 83 89
11 1 1 10 0 88 97 107
12 1 1 0 9 136 137 146
13 1 1 9 10 175 176 177
15 1 1 10 5 183 184 189
14 1 1 8 1 188 192 199
16 1 0 0 6 199 200 206
8 1 0 7 4 224 225 228
7 1 0 6 3 226 230 233
17 1 0 9 2 248 254 261
6 1 0 5 0 257 258 263
20 1 1 0 4 261 262 266
18 1 1 10 6 273 279 283
19 1 1 8 1 279 281 288
25 1 0 0 8 326 327 335
23 1 0 9 2 339 340 347
4 1 0 3 7 347 348 352
3 1 1 2 7 353 354 359
27 1 1 8 6 366 367 369
5 1 1 4 0 376 378 382
26 1 0 10 0 370 373 383
28 1 1 0 1 396 397 398
29 1 1 9 0 432 437 448
33 1 1 10 0 429 438 448
35 1 0 0 10 440 441 451
21 1 0 7 0 444 454 461
32 1 0 8 9 452 469 470
22 1 0 6 0 469 473 479
24 1 1 5 6 490 495 496
38 1 0 0 5 516 517 522
36 1 1 10 4 522 526 532
37 1 0 9 6 527 531 534
2 1 1 1 2 531 535 536
40 1 0 8 3 538 540 545
43 1 1 0 9 569 571 580
44 1 1 10 2 612 613 621
45 1 0 9 5 632 638 642
47 1 0 8 0 634 637 647
48 1 0 0 1 648 649 650
39 1 1 7 8 694 699 700
52 1 0 0 3 706 707 710
49 1 1 10 0 703 705 715
30 1 1 3 5 717 720 722
41 1 0 6 1 716 719 724
51 1 1 8 2 720 725 731
31 1 0 2 9 723 725 732
50 1 1 9 1 724 738 746
42 1 1 5 7 758 762 764
34 1 1 4 9 759 761 766
55 1 1 0 6 760 775 781
54 1 0 10 8 790 791 793
58 1 0 8 1 808 809 816
63 1 0 0 2 819 820 822
60 1 1 9 10 822 825 826
66 1 0 0 3 883 885 888
64 1 1 10 9 888 889 890
67 1 1 9 7 894 895 897
65 1 1 8 3 897 898 903
53 1 1 7 5 917 921 923
68 1 0 0 7 945 948 955
56 1 1 6 9 969 970 973
69 1 0 10 5 969 972 977
71 1 1 8 4 979 980 984
61 1 0 5 3 987 988 990
73 1 0 0 5 996 999 1004
46 1 0 1 0 999 1008 1009
70 1 0 9 1 1004 1018 1026
78 1 0 0 4 1058 1059 1063
74 1 1 10 3 1051 1057 1064
62 1 1 4 0 1089 1090 1094
76 1 0 8 0 1083 1087 1095
80 1 1 9 6 1098 1107 1110
82 1 0 0 9 1103 1104 1113
57 1 1 3 2 1100 1101 1114
59 1 1 2 10 1125 1126 1134
83 1 0 8 2 1155 1156 1162
81 1 1 10 0 1151 1152 1162
87 1 1 0 8 1159 1163 1171
72 1 1 7 9 1176 1177 1179
85 1 1 9 0 1177 1180 1189
77 1 0 5 2 1211 1214 1217
75 1 0 6 4 1218 1222 1224
91 1 1 0 7 1222 1223 1230
90 1 1 8 5 1246 1247 1250
89 1 1 10 7 1253 1258 1261
93 1 1 9 8 1265 1267 1268
96 1 0 0 7 1281 1285 1292
97 1 1 8 9 1326 1327 1328
100 1 0 0 4 1335 1342 1346
98 1 1 10 1 1346 1347 1356
99 1 0 9 0 1367 1372 1381
102 1 0 0 3 1387 1388 1391
101 1 0 8 4 1424 1429 1433
92 1 0 7 4 1431 1436 1439
105 1 1 0 8 1437 1438 1446
103 1 1 10 7 1443 1448 1451
94 1 0 5 1 1453 1454 1458
84 1 0 4 8 1456 1461 1465
104 1 1 9 5 1459 1461 1465
95 1 0 6 1 1459 1467 1472
86 1 1 3 2 1473 1475 1476
108 1 0 0 9 1479 1480 1489
79 1 1 1 0 1491 1492 1493
88 1 1 2 0 1503 1505 1507
106 1 0 8 0 1520 1521 1529
109 1 0 10 2 1528 1539 1547
115 1 1 0 9 1539 1540 1549
112 1 1 9 10 1537 1549 1550
121 1 0 0 8 1594 1603 1611
118 1 0 8 10 1608 1611 1613
119 1 1 10 0 1615 1616 1626
120 1 0 9 4 1642 1643 1648
122 1 1 0 8 1654 1655 1663
107 1 0 7 2 1691 1694 1699
124 1 1 10 4 1691 1693 1699
113 1 0 6 8 1692 1703 1705
123 1 1 8 10 1698 1703 1705
110 1 0 5 4 1713 1716 1717
126 1 0 0 9 1719 1723 1732
125 1 1 9 1 1730 1731 1739
132 1 1 0 8 1775 1776 1784
127 1 0 10 2 1776 1777 1785
130 1 1 8 7 1795 1796 1797
133 1 1 9 2 1809 1811 1818
111 1 0 4 8 1826 1828 1832
114 1 1 3 10 1824 1825 1832
134 1 0 0 6 1834 1842 1848
135 1 1 10 8 1851 1852 1854
117 1 0 2 3 1872 1876 1877
136 1 1 8 7 1885 1886 1887
140 1 0 0 6 1884 1887 1893
137 1 1 9 2 1896 1898 1905
129 1 0 6 9 1927 1928 1931
128 1 0 7 4 1946 1948 1951
143 1 1 0 5 1951 1953 1958
141 1 0 10 1 1950 1957 1966
131 1 1 5 9 1967 1968 1972
145 1 1 9 1 1972 1973 1981
144 1 1 8 6 1979 1988 1990
116 1 0 1 6 1995 1996 2001
149 1 1 0 9 2015 2021 2030
148 1 1 10 4 2038 2039 2045
151 1 0 9 4 2056 2059 2064
152 1 1 8 6 2074 2078 2080
154 1 0 0 2 2082 2086 2088
155 1 1 10 7 2130 2134 2137
156 1 1 9 6 2135 2139 2142
158 1 0 0 3 2158 2160 2163
157 1 1 8 4 2173 2175 2179
146 1 1 6 0 2183 2185 2191
147 1 0 7 8 2188 2192 2193
138 1 1 3 0 2196 2199 2202
159 1 0 10 4 2213 2215 2221
139 1 0 4 8 2222 2223 2227
161 1 1 0 2 2225 2226 2228
150 1 1 5 3 2229 2232 2234
160 1 0 9 4 2232 2233 2238
142 1 1 2 3 2239 2240 2241
162 1 0 8 9 2262 2266 2267
168 1 1 0 3 2288 2291 2294
166 1 0 10 8 2321 2322 2324
170 1 0 9 6 2332 2333 2336
173 1 1 0 9 2345 2348 2357
172 1 1 8 0 2360 2361 2369
176 1 1 0 2 2415 2416 2418
174 1 0 10 6 2413 2417 2421
175 1 0 9 7 2426 2429 2431
164 1 0 7 5 2435 2436 2438
177 1 0 8 3 2450 2453 2458
163 1 0 6 9 2454 2461 2464
179 1 1 0 4 2476 2478 2482
153 1 1 1 5 2477 2479 2483
169 1 0 5 9 2478 2482 2486
178 1 0 10 0 2503 2504 2514
184 1 0 0 9 2529 2530 2539
180 1 1 9 4 2532 2536 2541
167 1 1 4 7 2548 2549 2552
182 1 0 8 5 2551 2552 2555
165 1 1 3 1 2548 2556 2558
187 1 0 10 8 2584 2589 2591
188 1 1 0 9 2590 2591 2600
171 1 0 2 8 2608 2614 2620
192 1 0 8 1 2629 2630 2637
189 1 1 9 1 2628 2629 2637
194 1 0 0 4 2659 2660 2664
181 1 1 7 3 2658 2664 2668
193 1 0 10 5 2673 2679 2684
197 1 0 8 6 2705 2708 2710
196 1 0 9 8 2723 2726 2727
199 1 1 0 8 2719 2722 2730
183 1 1 6 0 2729 2732 2738
186 1 0 5 3 2741 2744 2746
200 1 0 10 6 2760 2767 2771
202 1 1 0 1 2771 2772 2773
201 1 0 8 3 2790 2792 2797
203 1 0 9 10 2825 2831 2832
207 1 1 0 2 2840 2841 2843
206 1 0 10 2 2842 2843 2851
208 1 1 8 2 2885 2891 2897
198 1 1 7 9 2903 2908 2910
210 1 0 0 9 2904 2906 2915
209 1 1 9 8 2914 2915 2916
191 1 1 3 4 2921 2926 2927
211 1 0 10 7 2927 2928 2931
190 1 1 4 10 2935 2936 2942
214 1 0 0 2 2964 2971 2973
204 1 1 6 0 2971 2975 2981
212 1 0 8 3 2978 2984 2989
185 1 1 1 10 2984 2985 2994
205 1 1 5 10 2988 2989 2994
195 1 0 2 9 3009 3010 3017
215 1 0 9 10 3011 3017 3018
217 1 1 10 4 3028 3029 3035
219 1 1 0 9 3030 3039 3048
221 1 1 8 5 3088 3089 3092
225 1 0 9 2 3094 3095 3102
227 1 0 0 7 3101 3104 3111
226 1 0 10 0 3121 3124 3134
213 1 1 7 8 3138 3140 3141
230 1 0 0 10 3151 3152 3162
229 1 1 9 1 3171 3172 3180
228 1 0 8 10 3195 3197 3199
233 1 1 0 4 3207 3208 3212
220 1 0 6 3 3219 3220 3223
231 1 0 10 2 3215 3216 3224
223 1 1 5 4 3228 3229 3230
234 1 1 9 6 3252 3257 3260
236 1 0 0 9 3266 3268 3277
235 1 1 8 1 3274 3276 3283
218 1 1 4 3 3282 3286 3287
216 1 1 3 7 3287 3288 3292
237 1 0 10 8 3309 3310 3312
240 1 0 9 1 3331 3332 3340
241 1 0 0 10 3333 3341 3351
224 1 1 2 5 3355 3360 3363
232 1 1 7 3 3366 3368 3372
242 1 0 8 9 3372 3374 3375
247 1 1 0 7 3386 3389 3396
245 1 0 10 8 3397 3398 3400
246 1 0 9 0 3426 3427 3436
251 1 0 0 6 3445 3446 3452
238 1 0 6 5 3465 3466 3467
250 1 1 8 2 3465 3466 3472
239 1 0 5 10 3477 3478 3483
252 1 0 10 0 3488 3489 3499
254 1 0 0 3 3513 3514 3517
253 1 1 9 8 3509 3516 3517
222 1 0 1 5 3528 3530 3534
255 1 1 8 7 3554 3555 3556
258 1 1 10 8 3571 3574 3576
260 1 0 0 2 3574 3579 3581
259 1 1 9 7 3594 3595 3597
249 1 1 7 10 3607 3608 3611
244 1 0 3 7 3609 3610 3614
243 1 0 4 8 3613 3617 3621
264 1 0 0 2 3631 3639 3641
262 1 1 8 7 3645 3647 3648
265 1 1 9 2 3667 3669 3676
263 1 1 10 8 3669 3684 3686
269 1 0 0 3 3690 3692 3695
256 1 1 6 8 3703 3705 3707
248 1 0 2 7 3708 3709 3714
257 1 0 5 7 3716 3718 3720
272 1 1 10 2 3751 3753 3761
270 1 0 8 0 3753 3754 3762
273 1 0 0 6 3753 3763 3769
271 1 0 9 1 3766 3772 3780
278 1 0 0 8 3808 3809 3817
279 1 0 8 7 3830 3831 3832
277 1 0 10 6 3845 3848 3852
266 1 0 7 3 3851 3853 3857
280 1 0 9 4 3855 3863 3868
281 1 1 0 8 3860 3862 3870
282 1 1 8 3 3915 3916 3921
286 1 1 0 5 3926 3929 3934
283 1 0 10 8 3928 3934 3936
285 1 0 9 10 3932 3937 3938
274 1 1 6 2 3946 3947 3951
267 1 1 3 2 3958 3959 3960
268 1 1 4 5 3967 3969 3970
276 1 1 5 8 3977 3978 3981
287 1 1 8 5 3986 3987 3990
288 1 1 0 3 3989 3995 3998
289 1 0 10 8 4016 4017 4019
290 1 0 9 8 4026 4027 4028
275 1 1 2 6 4036 4037 4041
296 1 1 0 8 4051 4057 4065
261 1 1 1 10 4067 4074 4083
295 1 0 8 3 4085 4086 4091
300 1 0 0 3 4103 4106 4109
297 1 1 10 2 4103 4104 4112
284 1 1 7 10 4103 4117 4120
298 1 1 9 1 4122 4123 4131
291 1 0 6 5 4163 4166 4167
305 1 1 0 4 4173 4174 4178
302 1 0 8 10 4174 4177 4179
304 1 0 10 4 4180 4181 4187
306 1 1 9 1 4196 4201 4209
308 1 1 0 1 4235 4236 4237
294 1 0 5 10 4234 4235 4240
309 1 0 8 1 4260 4262 4269
311 1 1 9 8 4287 4288 4289
313 1 0 0 6 4286 4287 4293
310 1 1 10 3 4278 4287 4294
292 1 1 3 0 4316 4317 4320
293 1 0 4 1 4337 4339 4342
316 1 1 0 6 4350 4351 4357
303 1 0 7 0 4349 4355 4362
315 1 1 10 9 4362 4366 4367
314 1 0 8 9 4350 4370 4371
317 1 1 9 7 4381 4382 4384
299 1 1 2 10 4395 4400 4408
307 1 0 6 2 4414 4417 4421
321 1 1 0 9 4416 4426 4435
322 1 1 8 3 4431 4436 4441
323 1 1 10 8 4455 4462 4464
324 1 1 9 0 4473 4474 4483
327 1 0 0 7 4479 4481 4488
312 1 0 5 8 4489 4491 4494
328 1 0 8 7 4535 4536 4537
331 1 1 0 9 4534 4535 4544
329 1 0 10 7 4550 4553 4556
330 1 1 9 0 4548 4549 4558
333 1 1 0 5 4579 4580 4585
320 1 0 7 1 4593 4594 4600
301 1 0 1 3 4610 4611 4613
334 1 1 8 6 4618 4621 4623
335 1 1 9 2 4632 4635 4642
337 1 0 0 2 4640 4643 4645
336 1 1 10 3 4634 4650 4657
326 1 1 6 3 4650 4654 4657
318 1 1 3 1 4666 4667 4669
343 1 1 0 8 4707 4708 4716
341 1 1 9 1 4719 4720 4728
332 1 0 5 1 4726 4729 4733
340 1 1 8 7 4727 4735 4736
319 1 0 4 3 4735 4736 4749
342 1 0 10 0 4728 4742 4752
325 1 0 2 3 4769 4771 4772
346 1 0 0 10 4769 4775 4785
347 1 0 9 3 4797 4798 4804
349 1 1 8 1 4820 4821 4828
350 1 0 10 8 4824 4831 4833
353 1 1 0 2 4834 4835 4837
338 1 0 7 0 4847 4848 4855
344 1 0 6 9 4888 4894 4897
354 1 1 9 0 4886 4893 4902
357 1 1 0 3 4893 4903 4906
355 1 0 8 1 4912 4913 4920
356 1 1 10 2 4922 4929 4937
361 1 0 0 10 4965 4966 4976
348 1 1 5 8 4972 4975 4978
359 1 0 9 2 4970 4977 4984
362 1 1 8 6 4997 4998 5000
363 1 1 10 3 5007 5011 5018
364 1 0 0 1 5031 5033 5034
345 1 1 3 0 5033 5034 5037
365 1 0 9 0 5053 5061 5070
358 1 0 7 10 5056 5077 5080
367 1 0 8 2 5090 5092 5098
369 1 1 0 3 5095 5096 5099
351 1 1 4 2 5099 5100 5102
368 1 0 10 8 5092 5106 5108
352 1 1 2 3 5122 5123 5124
371 1 0 9 8 5135 5136 5137
360 1 0 6 7 5143 5145 5146
375 1 1 0 4 5153 5156 5160
339 1 1 1 0 5171 5174 5175
373 1 0 8 1 5175 5176 5183
374 1 0 10 0 5176 5192 5202
380 1 1 0 5 5206 5207 5212
366 1 1 5 7 5220 5221 5223
378 1 1 9 6 5248 5250 5253
383 1 1 10 6 5263 5267 5271
384 1 0 0 3 5268 5269 5272
382 1 1 8 0 5278 5280 5288
372 1 0 7 8 5287 5291 5292
388 1 1 0 4 5332 5333 5337
387 1 0 10 3 5343 5345 5352
389 1 1 8 5 5350 5354 5357
386 1 0 9 3 5350 5358 5364
391 1 0 0 4 5399 5402 5406
379 1 1 6 10 5406 5407 5411
370 1 0 3 0 5409 5410 5413
392 1 1 10 6 5435 5436 5440
376 1 1 4 9 5441 5443 5448
393 1 1 8 3 5441 5449 5454
395 1 0 0 8 5456 5457 5465
394 1 1 9 3 5445 5460 5466
385 1 1 5 8 5481 5483 5486
377 1 1 2 0 5497 5503 5505
402 1 1 0 9 5510 5511 5520
398 1 1 10 9 5524 5525 5526
400 1 0 8 0 5534 5535 5543
390 1 1 7 1 5540 5542 5548
401 1 1 9 10 5548 5556 5557
405 1 0 0 7 5564 5565 5572
407 1 0 8 6 5615 5616 5618
406 1 1 10 0 5612 5613 5623
410 1 1 0 8 5632 5633 5641
396 1 0 6 5 5647 5648 5649
409 1 1 9 1 5652 5653 5661
381 1 1 1 0 5669 5670 5671
412 1 0 8 1 5685 5688 5695
413 1 1 0 5 5694 5695 5700
411 1 1 10 7 5706 5711 5714
403 1 1 5 4 5724 5726 5727
415 1 1 9 8 5728 5733 5734
418 1 0 0 9 5746 5747 5756
397 1 1 3 1 5751 5756 5758
417 1 0 8 10 5773 5774 5776
399 1 1 4 7 5782 5785 5788
422 1 1 0 5 5790 5797 5802
421 1 0 9 2 5795 5796 5803
419 1 1 10 6 5798 5807 5811
408 1 1 7 10 5805 5812 5815
426 1 0 0 3 5848 5850 5853
404 1 0 2 9 5855 5856 5863
424 1 0 8 7 5863 5864 5865
428 1 1 10 7 5865 5866 5869
427 1 1 9 1 5886 5888 5896
414 1 1 6 0 5890 5891 5897
430 1 1 0 7 5904 5905 5912
432 1 1 8 3 5953 5954 5959
433 1 0 10 6 5962 5965 5969
436 1 1 0 7 5971 5974 5981
434 1 0 9 2 5973 5976 5983
420 1 1 5 6 5980 5983 5984
439 1 0 0 4 6032 6034 6038
437 1 1 8 2 6039 6041 6047
440 1 0 9 8 6044 6047 6050
429 1 0 7 4 6043 6045 6054
438 1 0 10 4 6042 6048 6054
423 1 0 3 7 6101 6102 6106
442 1 1 0 6 6099 6101 6107
444 1 0 10 9 6125 6128 6129
443 1 0 8 2 6128 6130 6136
425 1 0 4 10 6138 6140 6146
446 1 1 9 2 6138 6141 6148
447 1 1 0 7 6151 6153 6160
435 1 1 6 4 6159 6161 6163
431 1 1 2 7 6183 6185 6190
416 1 1 1 9 6204 6210 6218
441 1 1 5 7 6216 6222 6224
449 1 0 10 5 6219 6220 6225
453 1 1 0 3 6213 6231 6234
451 1 0 9 4 6230 6234 6239
450 1 0 8 10 6233 6243 6245
457 1 1 0 4 6281 6284 6288
445 1 1 7 0 6287 6291 6298
459 1 0 10 6 6308 6309 6313
461 1 0 8 1 6325 6327 6334
462 1 1 0 6 6335 6336 6342
460 1 0 9 5 6335 6343 6347
454 1 1 6 2 6392 6393 6397
466 1 1 0 1 6397 6399 6400
464 1 0 10 0 6398 6403 6413
465 1 0 8 9 6403 6421 6422
467 1 0 9 8 6418 6423 6424
458 1 0 5 10 6436 6439 6444
448 1 1 3 1 6450 6452 6454
469 1 1 0 3 6458 6459 6462
470 1 0 10 4 6489 6490 6496
452 1 1 4 7 6494 6495 6498
475 1 0 0 10 6500 6504 6514
471 1 1 8 4 6515 6516 6520
472 1 0 9 3 6522 6523 6529
463 1 1 7 8 6530 6533 6534
478 1 0 0 3 6554 6557 6560
455 1 0 2 3 6559 6561 6562
476 1 1 10 9 6579 6581 6582
468 1 1 6 1 6606 6609 6614
480 1 0 9 6 6610 6616 6619
479 1 1 8 5 6608 6621 6624
482 1 1 0 3 6625 6630 6633
484 1 0 10 7 6665 6669 6672
473 1 1 5 9 6669 6671 6675
488 1 0 0 3 6683 6690 6693
486 1 1 8 3 6693 6694 6699
487 1 1 9 6 6701 6707 6710
456 1 0 1 3 6730 6732 6734
491 1 0 0 1 6739 6742 6743
489 1 1 10 6 6735 6739 6743
481 1 1 7 0 6762 6763 6770
474 1 0 3 9 6777 6779 6785
492 1 0 8 6 6792 6793 6795
493 1 0 9 7 6792 6798 6800
496 1 1 0 6 6800 6801 6807
495 1 0 10 9 6832 6835 6836
485 1 1 6 2 6848 6849 6853
501 1 1 0 7 6857 6859 6866
477 1 1 4 6 6863 6869 6871
500 1 0 9 3 6877 6878 6884
499 1 1 8 6 6898 6900 6902
490 1 1 5 9 6905 6906 6910
504 1 0 0 7 6918 6921 6928
483 1 0 2 4 6924 6933 6935
502 1 1 10 3 6930 6931 6938
506 1 0 9 5 6967 6972 6976
509 1 1 0 4 6979 6982 6986
507 1 0 8 6 6993 6996 6998
