clientID partySize elevatorID arrivalFloor dropoffFloor createTime pickupTime dropoffTime
1 1 2 0 9 134 135 144
9 1 2 8 20 148 149 161
5 1 9 4 20 150 154 170
45 1 0 44 52 162 172 180
33 1 0 32 53 143 160 181
57 1 0 56 64 133 184 192
49 1 0 48 102 142 176 230
97 1 0 96 109 152 224 237
21 1 2 20 100 158 161 241
25 1 0 24 114 147 152 242
65 1 0 64 121 139 192 249
29 1 0 28 146 141 156 274
101 1 0 100 148 148 228 276
69 1 0 68 149 128 196 277
85 1 0 84 151 145 212 279
41 1 0 40 155 142 168 283
121 1 0 120 157 152 248 285
145 1 0 144 162 146 272 290
2 1 1 1 4 286 287 290
164 1 2 68 67 265 297 298
14 1 15 13 27 289 299 313
146 1 0 145 137 299 307 315
190 1 9 60 63 302 313 316
180 1 0 144 130 287 308 322
150 1 0 149 129 275 303 323
74 1 2 73 92 295 304 323
77 1 2 76 93 290 307 324
154 1 0 153 126 278 299 326
129 1 0 128 126 146 324 326
185 1 15 8 41 286 294 327
176 1 9 48 77 277 301 330
138 1 0 137 119 303 315 333
137 1 0 136 115 166 316 337
166 1 10 0 33 304 305 338
6 1 3 5 12 330 335 342
34 1 10 33 41 297 338 346
179 1 2 84 120 310 315 351
117 1 2 116 121 287 347 352
193 1 15 20 67 302 306 353
153 1 0 152 98 148 300 354
174 1 15 28 68 303 314 354
113 1 0 112 93 168 340 359
167 1 0 140 92 274 312 360
125 1 0 124 90 138 328 362
157 1 0 156 89 291 296 363
189 1 1 4 78 291 292 366
198 1 9 88 117 335 341 370
110 1 2 109 140 323 340 371
46 1 9 45 122 280 298 375
177 1 9 40 124 288 293 377
26 1 15 25 92 298 311 378
186 1 2 100 149 308 331 380
82 1 2 81 156 310 312 387
70 1 2 69 158 274 300 389
90 1 0 89 62 298 363 390
188 1 2 104 160 299 335 391
142 1 0 141 54 303 311 398
61 1 0 60 50 151 392 402
81 1 15 80 66 149 390 404
42 1 9 41 160 273 294 413
196 1 0 112 38 304 340 414
93 1 0 92 36 140 360 416
169 1 0 124 34 297 328 418
30 1 1 29 25 319 415 419
195 1 2 136 131 301 415 420
149 1 0 148 27 181 304 425
89 1 0 88 24 176 364 428
13 1 3 12 100 141 342 430
182 1 0 24 20 292 428 432
141 1 0 140 15 138 312 437
214 1 4 12 10 423 435 437
181 1 0 128 13 286 324 439
171 1 0 92 13 282 360 439
172 1 2 132 109 300 419 442
37 1 0 36 8 297 416 444
94 1 0 93 7 277 359 445
184 1 0 152 3 290 300 449
104 1 10 103 144 404 408 449
53 1 0 52 2 142 400 450
114 1 2 113 99 265 438 452
109 1 2 108 97 175 443 454
173 1 3 12 125 284 342 455
225 1 0 4 8 451 452 456
23 1 15 22 13 445 448 457
191 1 2 96 92 315 455 459
22 1 10 21 154 318 326 459
219 1 9 144 113 425 429 460
31 1 4 30 32 456 461 463
187 1 15 80 7 291 390 463
178 1 4 32 35 288 463 466
250 1 1 28 74 417 422 468
43 1 1 42 74 433 436 468
245 1 3 136 141 456 466 471
133 1 2 132 79 140 419 472
87 1 2 86 79 456 465 472
215 1 4 8 41 434 439 472
251 1 6 0 18 453 454 472
134 1 2 133 76 269 418 475
36 1 4 35 50 419 466 481
221 1 4 32 56 435 463 487
197 1 2 108 63 331 443 488
241 1 3 120 159 448 450 489
229 1 4 56 58 433 487 489
11 1 0 10 45 442 458 493
67 1 1 66 99 442 460 493
66 1 2 65 58 301 486 493
102 1 2 101 54 271 450 497
106 1 2 105 47 310 446 504
132 1 10 131 103 479 482 510
27 1 4 26 80 454 457 511
242 1 10 132 102 436 481 511
143 1 3 142 134 475 506 514
105 1 9 104 59 149 469 514
91 1 9 90 58 477 483 515
155 1 3 154 130 473 494 518
58 1 9 57 55 322 516 518
99 1 2 98 32 449 453 519
98 1 2 97 27 333 454 524
64 1 2 63 26 417 488 525
256 1 9 100 47 463 473 526
122 1 2 121 23 310 430 528
192 1 2 120 23 300 431 528
19 1 6 18 66 478 480 528
50 1 9 49 45 307 524 528
24 1 0 23 81 468 471 529
52 1 4 51 99 466 482 530
59 1 4 58 100 432 489 531
213 1 2 92 17 417 459 534
247 1 0 20 87 465 468 535
78 1 1 77 141 458 471 535
200 1 15 68 79 417 524 535
226 1 4 80 105 435 511 536
86 1 2 85 12 314 466 539
18 1 2 17 6 277 534 545
73 1 10 72 67 138 541 546
62 1 9 61 26 312 512 547
223 1 10 152 66 449 461 547
103 1 10 102 65 440 511 548
12 1 15 11 92 454 467 548
35 1 1 34 159 410 428 553
54 1 9 53 16 319 520 557
236 1 0 16 111 458 464 559
216 1 10 128 53 432 485 560
168 1 10 72 53 296 541 560
17 1 0 16 113 148 464 561
183 1 0 16 115 298 464 563
282 1 9 28 29 548 569 570
80 1 15 79 115 434 535 571
116 1 0 115 128 454 563 576
144 1 3 143 70 476 505 578
231 1 10 72 31 434 541 582
165 1 4 56 160 292 487 591
152 1 4 151 162 575 582 593
111 1 10 110 20 417 503 593
130 1 0 129 148 297 577 596
15 1 6 14 142 469 476 604
296 1 3 72 41 572 576 607
127 1 3 126 37 454 522 611
147 1 10 146 0 455 467 613
107 1 3 106 34 436 542 614
7 1 5 6 134 480 486 614
323 1 8 0 19 595 596 615
302 1 0 132 125 603 612 619
140 1 0 139 122 604 605 622
217 1 11 1 73 550 551 623
126 1 0 125 120 328 619 624
170 1 2 64 88 300 603 627
79 1 2 78 89 475 617 628
135 1 3 134 20 466 514 628
227 1 4 156 127 587 599 628
38 1 3 37 16 462 611 632
274 1 2 88 94 485 627 633
234 1 0 129 110 613 615 634
83 1 1 82 77 474 630 635
194 1 9 44 99 307 585 640
76 1 1 75 70 471 637 642
293 1 3 56 6 583 592 642
264 1 10 9 31 604 622 644
297 1 7 8 66 581 589 647
205 1 3 69 0 576 579 648
