clientID partySize elevatorID arrivalFloor dropoffFloor createTime pickupTime dropoffTime
1 1 2 0 9 134 135 144
45 1 0 44 52 162 172 180
33 1 0 32 53 143 160 181
57 1 1 56 64 133 189 197
73 1 4 72 67 138 210 215
25 1 0 24 114 147 152 242
81 1 13 80 66 149 229 243
53 1 11 52 2 142 194 244
49 1 12 48 102 142 190 244
17 1 1 16 113 148 149 246
65 1 1 64 121 139 197 254
97 1 14 96 109 152 248 261
164 1 4 68 67 265 266 267
29 1 0 28 146 141 156 274
129 1 9 128 126 146 274 276
69 1 0 68 149 128 196 277
41 1 0 40 155 142 168 283
85 1 2 84 151 145 220 287
93 1 7 92 36 140 232 288
125 1 5 124 90 138 262 296
18 1 11 17 6 277 292 303
190 1 6 60 63 302 304 307
195 1 15 136 131 301 302 307
180 1 2 144 130 287 294 308
150 1 0 149 129 275 289 309
121 1 14 120 157 152 272 309
154 1 0 153 126 278 285 312
145 1 9 144 162 146 294 312
66 1 12 65 58 301 308 315
102 1 12 101 54 271 272 319
168 1 12 72 53 296 301 320
137 1 15 136 115 166 302 323
14 1 11 13 27 289 310 324
133 1 8 132 79 140 272 325
167 1 3 140 92 274 278 326
191 1 3 96 92 315 322 326
90 1 5 89 62 298 299 326
105 1 13 104 59 149 281 326
176 1 7 48 77 277 300 329
146 1 14 145 137 299 321 329
172 1 15 132 109 300 306 329
58 1 13 57 55 322 328 330
170 1 6 64 88 300 308 332
109 1 0 108 97 175 330 341
113 1 0 112 93 168 326 345
138 1 14 137 119 303 329 347
153 1 10 152 98 148 300 354
54 1 12 53 16 319 320 357
134 1 2 133 76 269 305 362
70 1 4 69 158 274 276 365
174 1 11 28 68 303 325 365
94 1 12 93 7 277 280 366
187 1 12 80 7 291 293 366
114 1 14 113 99 265 353 367
46 1 7 45 122 280 297 374
177 1 7 40 124 288 292 376
179 1 5 84 120 310 348 384
6 1 13 5 12 330 380 387
61 1 0 60 50 151 378 388
26 1 11 25 92 298 322 389
169 1 1 124 34 297 300 390
86 1 8 85 12 314 319 392
142 1 10 141 54 303 311 398
196 1 0 112 38 304 326 400
192 1 1 120 23 300 304 401
141 1 3 140 15 138 278 403
165 1 6 56 160 292 300 404
181 1 3 128 13 286 290 405
171 1 3 92 13 282 326 405
149 1 0 148 27 181 290 411
98 1 0 97 27 333 341 411
42 1 7 41 160 273 293 412
183 1 11 16 115 298 313 412
89 1 0 88 24 176 350 414
122 1 15 121 23 310 317 415
182 1 0 24 20 292 414 418
82 1 5 81 156 310 345 420
214 1 0 12 10 423 427 429
229 1 1 56 58 433 434 436
200 1 12 68 79 417 427 438
197 1 2 108 63 331 394 439
184 1 10 152 3 290 300 449
104 1 14 103 144 404 408 449
74 1 12 73 92 295 432 451
77 1 12 76 93 290 435 452
193 1 3 20 67 302 412 459
219 1 7 144 113 425 428 459
226 1 12 80 105 435 439 464
250 1 15 28 74 417 420 466
43 1 15 42 74 433 434 466
225 1 9 4 8 451 470 474
80 1 12 79 115 434 438 474
13 1 13 12 100 141 387 475
59 1 13 58 100 432 433 475
64 1 2 63 26 417 439 476
106 1 4 105 47 310 418 476
38 1 2 37 16 462 465 486
5 1 9 4 20 150 470 486
9 1 9 8 20 148 474 486
116 1 12 115 128 454 474 487
240 1 5 104 86 471 472 490
11 1 10 10 45 442 456 491
242 1 14 132 102 436 461 491
21 1 3 20 100 158 412 492
243 1 2 64 9 437 438 493
198 1 1 88 117 335 466 495
92 1 12 91 136 444 450 495
36 1 10 35 50 419 481 496
87 1 5 86 79 456 490 497
245 1 12 136 141 456 495 500
173 1 13 12 125 284 387 500
117 1 8 116 121 287 496 501
30 1 11 29 25 319 498 502
185 1 9 8 41 286 474 507
215 1 9 8 41 434 474 507
120 1 5 119 67 456 457 509
161 1 6 160 77 428 429 512
101 1 13 100 148 148 475 523
186 1 13 100 149 308 475 524
50 1 7 49 45 307 523 527
24 1 10 23 81 468 469 527
103 1 14 102 65 440 491 528
19 1 9 18 66 478 484 532
110 1 15 109 140 323 501 532
118 1 1 117 155 422 495 533
247 1 10 20 87 465 466 533
91 1 3 90 58 477 502 534
12 1 10 11 92 454 457 538
132 1 12 131 103 479 510 538
188 1 8 104 160 299 484 540
216 1 14 128 53 432 465 540
130 1 15 129 148 297 521 540
189 1 9 4 78 291 470 544
27 1 9 26 80 454 492 546
206 1 5 140 29 411 436 547
175 1 7 52 22 307 520 550
79 1 9 78 89 475 544 555
23 1 7 22 13 445 550 559
37 1 7 36 8 297 536 564
47 1 2 46 81 454 530 565
67 1 9 66 99 442 532 565
228 1 9 24 100 456 490 566
255 1 2 52 88 457 536 572
126 1 10 125 120 328 571 576
236 1 9 16 111 458 482 577
274 1 2 88 94 485 572 578
55 1 4 54 161 460 483 590
178 1 7 32 35 288 588 591
256 1 12 100 47 463 541 594
34 1 7 33 41 297 589 597
48 1 5 47 85 560 565 603
304 1 12 64 38 574 577 603
100 1 10 99 92 593 597 604
15 1 9 14 142 469 480 608
99 1 12 98 32 449 543 609
231 1 12 72 31 434 569 610
83 1 15 82 77 474 606 611
221 1 7 32 56 435 588 612
62 1 12 61 26 312 580 615
76 1 15 75 70 471 613 618
131 1 14 130 136 435 617 623
227 1 4 156 127 587 595 624
123 1 14 122 137 472 609 624
115 1 6 114 38 476 549 625
112 1 10 111 71 583 585 625
257 1 5 81 108 596 599 626
218 1 10 116 70 576 580 626
119 1 14 118 140 435 605 627
336 1 14 136 140 609 623 627
140 1 9 139 122 604 611 628
293 1 3 56 6 583 585 635
22 1 11 21 154 318 506 639
278 1 14 140 152 547 627 639
204 1 5 41 122 552 559 640
157 1 0 156 89 291 575 642
224 1 2 76 158 558 560 642
39 1 2 38 159 469 522 643
246 1 15 60 45 447 628 643
207 1 1 149 58 556 562 653
279 1 5 68 135 579 586 653
124 1 10 123 43 571 573 653
194 1 7 44 99 307 600 655
372 1 7 88 99 643 644 655
210 1 7 17 101 556 573 657
254 1 12 49 69 595 638 658
233 1 5 124 144 450 642 662
290 1 8 48 38 581 652 662
253 1 7 44 107 474 600 663
235 1 12 36 75 618 625 664
258 1 10 121 30 571 575 666
292 1 8 128 33 570 572 667
260 1 15 84 21 475 604 667
136 1 5 135 150 626 653 668
75 1 8 74 31 455 626 669
202 1 4 133 75 559 618 676
313 1 15 60 10 621 628 678
211 1 4 153 72 580 598 679
213 1 10 92 17 417 604 679
272 1 8 108 18 488 592 682
208 1 8 48 18 428 652 682
339 1 3 16 54 602 645 683
261 1 6 61 98 593 648 685
8 1 3 7 58 633 636 687
108 1 7 107 133 617 663 689
230 1 13 73 148 598 600 689
234 1 2 129 110 613 673 692
128 1 4 127 59 563 624 692
139 1 7 138 139 427 694 695
232 1 8 33 1 604 667 699
358 1 6 44 113 623 631 700
316 1 7 120 153 603 676 709
296 1 4 72 41 572 679 710
287 1 4 144 38 573 607 713
16 1 7 15 159 558 571 715
241 1 7 120 159 448 676 715
249 1 9 137 33 604 613 717
31 1 0 30 32 456 717 719
345 1 5 112 91 607 706 727
252 1 5 112 87 466 706 731
403 1 9 48 49 727 732 733
270 1 14 125 56 611 666 735
343 1 14 100 56 586 691 735
400 1 1 68 54 713 723 737
60 1 6 59 151 608 646 738
151 1 14 150 51 470 641 740
201 1 2 113 60 592 689 742
212 1 12 45 155 586 634 744
237 1 3 25 116 631 654 745
152 1 6 151 162 575 738 749
267 1 15 53 90 634 721 758
107 1 11 106 34 436 687 759
298 1 15 80 93 608 748 761
143 1 12 142 134 475 757 765
436 1 14 40 26 748 751 765
320 1 11 124 25 609 669 768
155 1 12 154 130 473 745 769
203 1 13 101 66 572 736 771
135 1 14 134 20 466 657 771
111 1 11 110 20 417 683 773
344 1 3 20 149 628 649 778
220 1 0 40 94 445 727 781
127 1 5 126 37 454 692 781
63 1 11 62 10 469 731 783
52 1 0 51 99 466 738 786
301 1 0 32 103 588 719 790
51 1 2 50 12 455 752 790
96 1 15 95 122 594 763 790
147 1 14 146 0 455 645 791
84 1 15 83 123 608 751 791
263 1 5 96 24 482 722 794
95 1 5 94 21 483 724 797
248 1 2 141 0 621 661 802
68 1 5 67 16 586 751 802
71 1 0 70 118 479 757 805
384 1 9 92 121 715 776 805
370 1 5 96 12 627 722 806
264 1 11 9 31 604 784 806
360 1 13 84 27 625 753 810
209 1 15 93 144 577 761 812
281 1 9 92 131 559 776 815
262 1 13 85 20 587 752 817
429 1 2 16 18 783 818 820
282 1 5 28 29 548 822 823
312 1 0 40 137 606 727 824
268 1 10 57 162 637 719 824
456 1 1 60 111 770 776 827
144 1 12 143 70 476 756 829
40 1 0 39 150 451 726 837
78 1 8 77 141 458 775 839
275 1 9 148 141 493 832 839
269 1 0 109 154 617 796 841
461 1 2 20 40 783 822 842
273 1 4 97 27 659 772 842
394 1 7 144 32 715 730 842
159 1 6 158 68 439 753 843
430 1 3 120 81 739 807 846
375 1 6 140 64 714 771 847
238 1 8 89 149 613 787 847
395 1 6 64 57 726 847 854
442 1 12 124 44 767 775 855
32 1 8 31 159 671 729 857
478 1 14 68 78 856 859 869
302 1 0 132 125 603 863 870
392 1 14 72 79 712 863 870
277 1 7 34 62 839 844 872
457 1 12 44 24 762 855 875
56 1 7 55 66 615 865 876
72 1 13 71 81 613 868 878
391 1 1 101 113 857 867 879
405 1 4 56 66 732 871 881
443 1 12 136 15 727 763 884
244 1 5 65 94 587 859 888
280 1 0 110 103 884 885 892
431 1 0 132 102 765 863 893
466 1 15 104 147 774 852 895
399 1 2 93 95 876 895 897
205 1 12 69 0 576 830 899
326 1 2 46 98 846 848 900
383 1 10 133 86 851 853 900
438 1 10 112 86 772 874 900
398 1 4 69 94 883 884 909
374 1 9 148 71 651 832 909
88 1 13 87 115 631 884 912
276 1 3 103 149 824 868 914
346 1 8 134 102 879 882 914
376 1 5 28 121 692 822 915
324 1 13 115 119 906 912 916
355 1 0 104 78 633 891 917
482 1 5 100 123 867 894 917
10 1 11 9 142 315 784 917
44 1 7 43 108 600 853 918
288 1 8 138 97 873 878 919
472 1 0 148 75 835 847 920
487 1 8 136 93 876 880 923
460 1 8 96 92 794 920 924
480 1 11 92 149 862 867 924
317 1 2 98 125 895 900 927
445 1 12 21 31 919 920 930
409 1 5 100 137 717 894 931
239 1 0 145 62 586 850 933
458 1 8 84 82 777 932 934
416 1 9 61 46 902 919 934
439 1 0 80 59 766 915 936
199 1 9 148 43 336 832 937
371 1 4 94 125 902 909 940
368 1 0 70 54 921 925 941
467 1 9 53 35 924 927 945
266 1 5 29 154 621 823 948
359 1 8 82 68 886 934 948
393 1 5 52 155 701 846 949
333 1 12 24 52 597 923 951
469 1 7 88 142 788 898 952
330 1 9 50 28 902 930 952
337 1 5 52 160 572 846 954
454 1 3 141 108 920 922 955
308 1 9 66 25 911 914 955
35 1 13 34 159 410 831 956
406 1 15 145 85 883 897 957
486 1 9 48 22 901 932 958
373 1 3 108 104 644 955 959
