arrivalFloor arrivalTime partySize destinationFloor clientID
68 128 1 149 69
56 133 1 64 57
0 134 1 9 1
140 138 1 15 141
72 138 1 67 73
124 138 1 90 125
64 139 1 121 65
92 140 1 36 93
132 140 1 79 133
12 141 1 100 13
28 141 1 146 29
52 142 1 2 53
48 142 1 102 49
40 142 1 155 41
32 143 1 53 33
84 145 1 151 85
144 146 1 162 145
128 146 1 126 129
24 147 1 114 25
16 148 1 113 17
152 148 1 98 153
8 148 1 20 9
100 148 1 148 101
80 149 1 66 81
104 149 1 59 105
4 150 1 20 5
60 151 1 50 61
96 152 1 109 97
120 152 1 157 121
20 158 1 100 21
44 162 1 52 45
136 166 1 115 137
112 168 1 93 113
108 175 1 97 109
88 176 1 24 89
148 181 1 27 149
68 265 1 67 164
113 265 1 99 114
133 269 1 76 134
101 271 1 54 102
41 273 1 160 42
69 274 1 158 70
140 274 1 92 167
149 275 1 129 150
48 277 1 77 176
93 277 1 7 94
17 277 1 6 18
153 278 1 126 154
45 280 1 122 46
92 282 1 13 171
12 284 1 125 173
8 286 1 41 185
128 286 1 13 181
1 286 1 4 2
116 287 1 121 117
144 287 1 130 180
40 288 1 124 177
32 288 1 35 178
13 289 1 27 14
152 290 1 3 184
76 290 1 93 77
4 291 1 78 189
80 291 1 7 187
156 291 1 89 157
24 292 1 20 182
56 292 1 160 165
73 295 1 92 74
72 296 1 53 168
33 297 1 41 34
124 297 1 34 169
129 297 1 148 130
36 297 1 8 37
16 298 1 115 183
25 298 1 92 26
89 298 1 62 90
145 299 1 137 146
104 299 1 160 188
120 300 1 23 192
132 300 1 109 172
64 300 1 88 170
65 301 1 58 66
136 301 1 131 195
60 302 1 63 190
20 302 1 67 193
141 303 1 54 142
137 303 1 119 138
28 303 1 68 174
0 304 1 33 166
112 304 1 38 196
44 307 1 99 194
49 307 1 45 50
52 307 1 22 175
100 308 1 149 186
81 310 1 156 82
121 310 1 23 122
105 310 1 47 106
84 310 1 120 179
61 312 1 26 62
85 314 1 12 86
96 315 1 92 191
9 315 1 142 10
21 318 1 154 22
29 319 1 25 30
53 319 1 16 54
57 322 1 55 58
109 323 1 140 110
125 328 1 120 126
5 330 1 12 6
108 331 1 63 197
97 333 1 27 98
88 335 1 117 198
148 336 1 43 199
103 404 1 144 104
34 410 1 159 35
140 411 1 29 206
68 417 1 79 200
110 417 1 20 111
92 417 1 17 213
28 417 1 74 250
63 417 1 26 64
35 419 1 50 36
117 422 1 155 118
12 423 1 10 214
144 425 1 113 219
138 427 1 139 139
160 428 1 77 161
48 428 1 18 208
58 432 1 100 59
128 432 1 53 216
56 433 1 58 229
42 433 1 74 43
79 434 1 115 80
72 434 1 31 231
8 434 1 41 215
80 435 1 105 226
130 435 1 136 131
118 435 1 140 119
32 435 1 56 221
132 436 1 102 242
106 436 1 34 107
64 437 1 9 243
158 439 1 68 159
102 440 1 65 103
162 442 1 98 163
66 442 1 99 67
10 442 1 45 11
91 444 1 136 92
22 445 1 13 23
40 445 1 94 220
60 447 1 45 246
161 447 1 58 162
155 447 1 21 156
120 448 1 159 241
98 449 1 32 99
152 449 1 66 223
159 449 1 1 160
124 450 1 144 233
