clientID partySize elevatorID arrivalFloor dropoffFloor createTime pickupTime dropoffTime
1 1 2 0 9 134 135 144
5 1 9 4 20 150 154 170
45 1 0 44 52 162 172 180
57 1 0 56 64 133 184 192
97 1 0 96 109 152 224 237
53 1 2 52 2 142 187 237
25 1 0 24 114 147 152 242
65 1 0 64 121 139 192 249
21 1 9 20 100 158 170 250
9 1 2 8 20 148 243 255
109 1 9 108 97 175 258 269
101 1 0 100 148 148 228 276
69 1 0 68 149 128 196 277
85 1 0 84 151 145 212 279
121 1 0 120 157 152 248 285
33 1 2 32 53 143 267 288
145 1 0 144 162 146 272 290
2 1 15 1 4 286 287 290
164 1 9 68 67 265 298 299
18 1 11 17 6 277 294 305
176 1 2 48 77 277 283 312
146 1 0 145 137 299 307 315
195 1 0 136 131 301 316 321
178 1 15 32 35 288 318 321
180 1 0 144 130 287 308 322
150 1 0 149 129 275 303 323
74 1 9 73 92 295 305 324
77 1 9 76 93 290 308 325
154 1 0 153 126 278 299 326
129 1 0 128 126 146 324 326
14 1 11 13 27 289 312 326
30 1 15 29 25 319 327 331
138 1 0 137 119 303 315 333
137 1 0 136 115 166 316 337
49 1 2 48 102 142 283 337
166 1 10 0 33 304 305 338
185 1 11 8 41 286 307 340
34 1 11 33 41 297 332 340
6 1 13 5 12 330 335 342
17 1 2 16 113 148 251 348
179 1 9 84 120 310 316 352
153 1 0 152 98 148 300 354
113 1 0 112 93 168 340 359
157 1 0 156 89 291 296 363
58 1 10 57 55 322 362 364
193 1 11 20 67 302 319 366
174 1 11 28 68 303 327 367
110 1 9 109 140 323 341 372
134 1 0 133 76 269 319 376
29 1 2 28 146 141 263 381
186 1 9 100 149 308 332 381
81 1 0 80 66 149 372 386
82 1 9 81 156 310 313 388
90 1 0 89 62 298 363 390
41 1 2 40 155 142 275 390
26 1 11 25 92 298 324 391
105 1 0 104 59 149 348 393
70 1 2 69 158 274 304 393
42 1 2 41 160 273 276 395
142 1 0 141 54 303 311 398
61 1 0 60 50 151 392 402
196 1 0 112 38 304 340 414
183 1 11 16 115 298 315 414
149 1 0 148 27 181 304 425
189 1 15 4 78 291 352 426
89 1 0 88 24 176 364 428
192 1 0 120 23 300 332 429
13 1 13 12 100 141 342 430
182 1 0 24 20 292 428 432
139 1 11 138 139 427 437 438
181 1 0 128 13 286 324 439
94 1 0 93 7 277 359 445
114 1 9 113 99 265 431 445
172 1 2 132 109 300 423 446
184 1 0 152 3 290 300 449
191 1 9 96 92 315 448 452
22 1 11 21 154 318 320 453
173 1 13 12 125 284 342 455
167 1 2 140 92 274 415 463
125 1 2 124 90 138 431 465
87 1 9 86 79 456 458 465
245 1 13 136 141 456 466 471
251 1 14 0 18 453 454 472
233 1 13 124 144 450 454 474
250 1 10 28 74 417 429 475
43 1 10 42 74 433 443 475
133 1 2 132 79 140 423 476
64 1 15 63 26 417 441 478
103 1 9 102 65 440 442 479
197 1 9 108 63 331 436 481
66 1 9 65 58 301 479 486
31 1 14 30 32 456 484 486
215 1 0 8 41 434 454 487
73 1 2 72 67 138 483 488
54 1 15 53 16 319 451 488
38 1 15 37 16 462 467 488
241 1 13 120 159 448 450 489
102 1 9 101 54 271 443 490
11 1 0 10 45 442 456 491
219 1 11 144 113 425 463 494
243 1 15 64 9 437 440 495
36 1 0 35 50 419 481 496
